network,x,y,coverage,radius,separation,separation_status,k_g0,method,free_rule,diff
insurance,MakeModel,MedCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,MakeModel,OtherCarCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,MakeModel,PropCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,MakeModel,RuggedAuto,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,MakeModel,Theft,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,MakeModel,ThisCarCost,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,MakeModel,ThisCarDam,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,RiskAversion,Accident,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,Airbag,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,AntiTheft,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,Antilock,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,CarValue,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,Cushioning,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,DrivHist,1.0,2,1,measured,18,local_up_fast,1,-1
insurance,RiskAversion,DrivQuality,1.0,2,1,measured,18,local_up_fast,1,-1
insurance,RiskAversion,DrivingSkill,1.0,2,1,measured,18,local_up_fast,1,-1
insurance,RiskAversion,HomeBase,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,ILiCost,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,MakeModel,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,MedCost,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,OtherCarCost,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,PropCost,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,RuggedAuto,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,SeniorTrain,1.0,2,1,measured,18,local_up_fast,1,-1
insurance,RiskAversion,Theft,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,ThisCarCost,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,ThisCarDam,1.0,1,1,measured,18,local_up_fast,1,0
insurance,RiskAversion,VehicleYear,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SeniorTrain,Accident,1.0,2,1,measured,18,local_up_fast,1,-1
insurance,SeniorTrain,DrivHist,1.0,2,1,measured,18,local_up_fast,1,-1
insurance,SeniorTrain,DrivQuality,1.0,2,1,measured,18,local_up_fast,1,-1
insurance,SeniorTrain,DrivingSkill,1.0,3,1,measured,18,local_up_fast,1,-2
insurance,SeniorTrain,ILiCost,1.0,2,1,measured,18,local_up_fast,1,-1
insurance,SeniorTrain,MedCost,1.0,2,1,measured,18,local_up_fast,1,-1
insurance,SeniorTrain,OtherCarCost,1.0,2,1,measured,18,local_up_fast,1,-1
insurance,SeniorTrain,PropCost,1.0,2,1,measured,18,local_up_fast,1,-1
insurance,SeniorTrain,ThisCarCost,1.0,2,1,measured,18,local_up_fast,1,-1
insurance,SeniorTrain,ThisCarDam,1.0,2,1,measured,18,local_up_fast,1,-1
insurance,SocioEcon,Accident,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,Airbag,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,AntiTheft,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,Antilock,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,CarValue,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,Cushioning,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,DrivHist,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,DrivQuality,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,DrivingSkill,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,GoodStudent,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,HomeBase,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,ILiCost,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,MakeModel,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,MedCost,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,OtherCarCost,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,PropCost,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,RiskAversion,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,RuggedAuto,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,SeniorTrain,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,Theft,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,ThisCarCost,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,ThisCarDam,1.0,1,1,measured,18,local_up_fast,1,0
insurance,SocioEcon,VehicleYear,1.0,1,1,measured,18,local_up_fast,1,0
insurance,VehicleYear,Accident,1.0,3,2,measured,18,local_up_fast,2,-1
insurance,VehicleYear,Airbag,1.0,3,2,measured,18,local_up_fast,2,-1
