network,x,y,hop_radius,n_asserted,k_g0,single_retractions_breaking_validity,single_retractions_inconsistent,claim_radius_is_one,phi_1
barley,frspdag,ksort,1,7,9,1,0,1,0.14285714285714285
barley,frspdag,protein,1,7,9,1,0,1,0.14285714285714285
barley,frspdag,s2225,1,7,9,1,0,1,0.14285714285714285
barley,frspdag,s2528,1,7,9,1,0,1,0.14285714285714285
barley,frspdag,slt22,1,7,9,1,0,1,0.14285714285714285
barley,frspdag,spndx,1,7,9,1,0,1,0.14285714285714285
barley,frspdag,tkv,1,7,9,1,0,1,0.14285714285714285
barley,frspdag,udb,1,7,9,1,0,1,0.14285714285714285
barley,jordinf,aks_m2,2,7,9,1,0,1,0.14285714285714285
barley,jordinf,aks_vgt,2,7,9,1,0,1,0.14285714285714285
barley,jordinf,keraks,2,7,9,1,0,1,0.14285714285714285
barley,jordinf,ksort,2,7,9,1,0,1,0.14285714285714285
barley,jordinf,protein,2,7,9,1,0,1,0.14285714285714285
barley,jordinf,s2225,2,7,9,1,0,1,0.14285714285714285
barley,jordinf,s2528,2,7,9,1,0,1,0.14285714285714285
barley,jordinf,slt22,2,7,9,1,0,1,0.14285714285714285
barley,jordinf,spndx,2,7,9,1,0,1,0.14285714285714285
barley,jordinf,tkv,2,7,9,1,0,1,0.14285714285714285
barley,jordinf,udb,2,7,9,1,0,1,0.14285714285714285
barley,nedbarea,aks_m2,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,aks_vgt,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,jordn,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,keraks,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,ksort,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,mod_nmin,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,ngodn,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,ngodnn,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,ngodnt,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,ngtilg,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,nprot,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,ntilg,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,protein,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,s2225,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,s2528,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,slt22,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,spndx,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,tkv,1,7,9,1,0,1,0.14285714285714285
barley,nedbarea,udb,1,7,9,1,0,1,0.14285714285714285
barley,rokap,aks_m2,1,7,9,1,0,1,0.14285714285714285
barley,rokap,aks_vgt,1,7,9,1,0,1,0.14285714285714285
barley,rokap,keraks,1,7,9,1,0,1,0.14285714285714285
barley,rokap,ksort,1,7,9,1,0,1,0.14285714285714285
barley,rokap,protein,1,7,9,1,0,1,0.14285714285714285
barley,rokap,s2225,1,7,9,1,0,1,0.14285714285714285
barley,rokap,s2528,1,7,9,1,0,1,0.14285714285714285
barley,rokap,slt22,1,7,9,1,0,1,0.14285714285714285
barley,rokap,spndx,1,7,9,1,0,1,0.14285714285714285
barley,rokap,tkv,1,7,9,1,0,1,0.14285714285714285
barley,rokap,udb,1,7,9,1,0,1,0.14285714285714285
barley,sorttkv,ksort,1,7,9,1,0,1,0.14285714285714285
barley,sorttkv,protein,1,7,9,1,0,1,0.14285714285714285
barley,sorttkv,s2225,1,7,9,1,0,1,0.14285714285714285
barley,sorttkv,s2528,1,7,9,1,0,1,0.14285714285714285
barley,sorttkv,slt22,1,7,9,1,0,1,0.14285714285714285
barley,sorttkv,spndx,1,7,9,1,0,1,0.14285714285714285
barley,srtprot,protein,1,7,9,1,0,1,0.14285714285714285
