20 {'n_scm': 14, 'n_U0': 52, 'n_full_enum': 13, 'n_query_pos': 109, 'n_trial': 4338, 'n_stamped': 3047, 'n_pos': 3019, 'n_Dcheck': 5509, 'n_rejected': 1291, 'n_moved': 438, 'O_lost': 114, 'n_abort': 28, 'n_abort_unamen': 28} 0.7
620 {'n_scm': 504, 'n_U0': 2018, 'n_full_enum': 486, 'n_query_pos': 3419, 'n_trial': 104074, 'n_stamped': 80513, 'n_pos': 78378, 'n_Dcheck': 241825, 'n_rejected': 23561, 'n_moved': 12467, 'O_lost': 3807, 'n_abort': 2135, 'n_abort_unamen': 2135, 'cn_shrink': 244, 'forb_shrink': 2} 22.2
640 {'n_scm': 521, 'n_U0': 2079, 'n_full_enum': 503, 'n_query_pos': 3541, 'n_trial': 107572, 'n_stamped': 83026, 'n_pos': 80803, 'n_Dcheck': 248055, 'n_rejected': 24546, 'n_moved': 12882, 'O_lost': 3944, 'n_abort': 2223, 'n_abort_unamen': 2223, 'cn_shrink': 244, 'forb_shrink': 2} 22.8
660 {'n_scm': 537, 'n_U0': 2157, 'n_full_enum': 518, 'n_query_pos': 3608, 'n_trial': 110442, 'n_stamped': 85446, 'n_pos': 83172, 'n_Dcheck': 252995, 'n_rejected': 24996, 'n_moved': 13358, 'O_lost': 4067, 'n_abort': 2274, 'n_abort_unamen': 2274, 'cn_shrink': 244, 'forb_shrink': 2} 23.3
680 {'n_scm': 550, 'n_U0': 2212, 'n_full_enum': 530, 'n_query_pos': 3694, 'n_trial': 112558, 'n_stamped': 86863, 'n_pos': 84546, 'n_Dcheck': 256904, 'n_rejected': 25695, 'n_moved': 13535, 'O_lost': 4115, 'n_abort': 2317, 'n_abort_unamen': 2317, 'cn_shrink': 244, 'forb_shrink': 2} 24.7
700 {'n_scm': 566, 'n_U0': 2265, 'n_full_enum': 546, 'n_query_pos': 3795, 'n_trial': 115258, 'n_stamped': 88833, 'n_pos': 86470, 'n_Dcheck': 262902, 'n_rejected': 26425, 'n_moved': 13873, 'O_lost': 4203, 'n_abort': 2363, 'n_abort_unamen': 2363, 'cn_shrink': 262, 'forb_shrink': 2} 25.1
720 {'n_scm': 584, 'n_U0': 2326, 'n_full_enum': 564, 'n_query_pos': 3937, 'n_trial': 121264, 'n_stamped': 93279, 'n_pos': 90747, 'n_Dcheck': 275168, 'n_rejected': 27985, 'n_moved': 14461, 'O_lost': 4342, 'n_abort': 2532, 'n_abort_unamen': 2532, 'cn_shrink': 278, 'forb_shrink': 2} 26.2
740 {'n_scm': 602, 'n_U0': 2434, 'n_full_enum': 581, 'n_query_pos': 3986, 'n_trial': 123304, 'n_stamped': 95139, 'n_pos': 92518, 'n_Dcheck': 282016, 'n_rejected': 28165, 'n_moved': 14776, 'O_lost': 4460, 'n_abort': 2621, 'n_abort_unamen': 2621, 'cn_shrink': 278, 'forb_shrink': 2} 26.9
760 {'n_scm': 617, 'n_U0': 2504, 'n_full_enum': 595, 'n_query_pos': 4124, 'n_trial': 128660, 'n_stamped': 99312, 'n_pos': 96648, 'n_Dcheck': 288373, 'n_rejected': 29348, 'n_moved': 15387, 'O_lost': 4624, 'n_abort': 2664, 'n_abort_unamen': 2664, 'cn_shrink': 278, 'forb_shrink': 2} 28.0
780 {'n_scm': 636, 'n_U0': 2615, 'n_full_enum': 612, 'n_query_pos': 4206, 'n_trial': 130928, 'n_stamped': 101172, 'n_pos': 98410, 'n_Dcheck': 297548, 'n_rejected': 29756, 'n_moved': 15697, 'O_lost': 4735, 'n_abort': 2762, 'n_abort_unamen': 2762, 'cn_shrink': 278, 'forb_shrink': 2} 28.6
800 {'n_scm': 651, 'n_U0': 2664, 'n_full_enum': 627, 'n_query_pos': 4331, 'n_trial': 135958, 'n_stamped': 104750, 'n_pos': 101898, 'n_Dcheck': 307718, 'n_rejected': 31208, 'n_moved': 16134, 'O_lost': 4831, 'n_abort': 2852, 'n_abort_unamen': 2852, 'cn_shrink': 284, 'forb_shrink': 2} 29.4
820 {'n_scm': 667, 'n_U0': 2733, 'n_full_enum': 643, 'n_query_pos': 4433, 'n_trial': 139624, 'n_stamped': 107662, 'n_pos': 104740, 'n_Dcheck': 316520, 'n_rejected': 31962, 'n_moved': 16529, 'O_lost': 4953, 'n_abort': 2922, 'n_abort_unamen': 2922, 'cn_shrink': 284, 'forb_shrink': 2} 30.1
840 {'n_scm': 683, 'n_U0': 2802, 'n_full_enum': 658, 'n_query_pos': 4498, 'n_trial': 141872, 'n_stamped': 109505, 'n_pos': 106511, 'n_Dcheck': 320839, 'n_rejected': 32367, 'n_moved': 16844, 'O_lost': 5018, 'n_abort': 2994, 'n_abort_unamen': 2994, 'cn_shrink': 284, 'forb_shrink': 2} 30.5
860 {'n_scm': 703, 'n_U0': 2884, 'n_full_enum': 678, 'n_query_pos': 4655, 'n_trial': 147178, 'n_stamped': 114024, 'n_pos': 110956, 'n_Dcheck': 331121, 'n_rejected': 33154, 'n_moved': 17598, 'O_lost': 5204, 'n_abort': 3068, 'n_abort_unamen': 3068, 'cn_shrink': 292, 'forb_shrink': 2} 32.0
880 {'n_scm': 716, 'n_U0': 2952, 'n_full_enum': 690, 'n_query_pos': 4736, 'n_trial': 150428, 'n_stamped': 116750, 'n_pos': 113530, 'n_Dcheck': 340957, 'n_rejected': 33678, 'n_moved': 18009, 'O_lost': 5346, 'n_abort': 3220, 'n_abort_unamen': 3220, 'cn_shrink': 304, 'forb_shrink': 2} 33.1
900 {'n_scm': 732, 'n_U0': 3023, 'n_full_enum': 706, 'n_query_pos': 4802, 'n_trial': 152126, 'n_stamped': 118292, 'n_pos': 114975, 'n_Dcheck': 347843, 'n_rejected': 33834, 'n_moved': 18281, 'O_lost': 5465, 'n_abort': 3317, 'n_abort_unamen': 3317, 'cn_shrink': 313, 'forb_shrink': 2} 34.3
920 {'n_scm': 749, 'n_U0': 3089, 'n_full_enum': 723, 'n_query_pos': 4899, 'n_trial': 154750, 'n_stamped': 120482, 'n_pos': 117130, 'n_Dcheck': 354215, 'n_rejected': 34268, 'n_moved': 18604, 'O_lost': 5585, 'n_abort': 3352, 'n_abort_unamen': 3352, 'cn_shrink': 313, 'forb_shrink': 2} 35.7
940 {'n_scm': 763, 'n_U0': 3167, 'n_full_enum': 736, 'n_query_pos': 4962, 'n_trial': 157112, 'n_stamped': 122568, 'n_pos': 119166, 'n_Dcheck': 361203, 'n_rejected': 34544, 'n_moved': 18936, 'O_lost': 5724, 'n_abort': 3402, 'n_abort_unamen': 3402, 'cn_shrink': 313, 'forb_shrink': 2} 37.3
960 {'n_scm': 781, 'n_U0': 3212, 'n_full_enum': 754, 'n_query_pos': 5149, 'n_trial': 162008, 'n_stamped': 126005, 'n_pos': 122499, 'n_Dcheck': 368281, 'n_rejected': 36003, 'n_moved': 19471, 'O_lost': 5886, 'n_abort': 3506, 'n_abort_unamen': 3506, 'cn_shrink': 315, 'forb_shrink': 2} 39.0
980 {'n_scm': 799, 'n_U0': 3271, 'n_full_enum': 771, 'n_query_pos': 5306, 'n_trial': 167052, 'n_stamped': 130081, 'n_pos': 126496, 'n_Dcheck': 376756, 'n_rejected': 36971, 'n_moved': 19910, 'O_lost': 6018, 'n_abort': 3585, 'n_abort_unamen': 3585, 'cn_shrink': 361, 'forb_shrink': 2} 41.0
1000 {'n_scm': 816, 'n_U0': 3354, 'n_full_enum': 787, 'n_query_pos': 5388, 'n_trial': 169840, 'n_stamped': 132235, 'n_pos': 128538, 'n_Dcheck': 383438, 'n_rejected': 37605, 'n_moved': 20230, 'O_lost': 6125, 'n_abort': 3697, 'n_abort_unamen': 3697, 'cn_shrink': 361, 'forb_shrink': 2} 42.6
1020 {'n_scm': 831, 'n_U0': 3426, 'n_full_enum': 800, 'n_query_pos': 5489, 'n_trial': 173520, 'n_stamped': 135329, 'n_pos': 131603, 'n_Dcheck': 388320, 'n_rejected': 38191, 'n_moved': 20670, 'O_lost': 6210, 'n_abort': 3726, 'n_abort_unamen': 3726, 'cn_shrink': 361, 'forb_shrink': 2} 44.0
1040 {'n_scm': 848, 'n_U0': 3503, 'n_full_enum': 816, 'n_query_pos': 5594, 'n_trial': 177594, 'n_stamped': 138520, 'n_pos': 134778, 'n_Dcheck': 396019, 'n_rejected': 39074, 'n_moved': 21174, 'O_lost': 6308, 'n_abort': 3742, 'n_abort_unamen': 3742, 'cn_shrink': 361, 'forb_shrink': 2} 46.2
1060 {'n_scm': 865, 'n_U0': 3561, 'n_full_enum': 833, 'n_query_pos': 5721, 'n_trial': 181900, 'n_stamped': 141951, 'n_pos': 138022, 'n_Dcheck': 411039, 'n_rejected': 39949, 'n_moved': 21672, 'O_lost': 6481, 'n_abort': 3929, 'n_abort_unamen': 3929, 'cn_shrink': 379, 'forb_shrink': 2} 48.7
1080 {'n_scm': 882, 'n_U0': 3658, 'n_full_enum': 849, 'n_query_pos': 5811, 'n_trial': 185072, 'n_stamped': 144683, 'n_pos': 140720, 'n_Dcheck': 418117, 'n_rejected': 40389, 'n_moved': 22206, 'O_lost': 6656, 'n_abort': 3963, 'n_abort_unamen': 3963, 'cn_shrink': 379, 'forb_shrink': 2} 51.3
1100 {'n_scm': 898, 'n_U0': 3717, 'n_full_enum': 865, 'n_query_pos': 5920, 'n_trial': 188364, 'n_stamped': 147265, 'n_pos': 143163, 'n_Dcheck': 427709, 'n_rejected': 41099, 'n_moved': 22589, 'O_lost': 6765, 'n_abort': 4102, 'n_abort_unamen': 4102, 'cn_shrink': 414, 'forb_shrink': 2} 53.4
1120 {'n_scm': 915, 'n_U0': 3762, 'n_full_enum': 882, 'n_query_pos': 6053, 'n_trial': 192372, 'n_stamped': 150263, 'n_pos': 146073, 'n_Dcheck': 435163, 'n_rejected': 42109, 'n_moved': 22973, 'O_lost': 6875, 'n_abort': 4190, 'n_abort_unamen': 4190, 'cn_shrink': 414, 'forb_shrink': 2} 55.0
1140 {'n_scm': 932, 'n_U0': 3823, 'n_full_enum': 898, 'n_query_pos': 6184, 'n_trial': 196418, 'n_stamped': 153773, 'n_pos': 149512, 'n_Dcheck': 444551, 'n_rejected': 42645, 'n_moved': 23461, 'O_lost': 7044, 'n_abort': 4261, 'n_abort_unamen': 4261, 'cn_shrink': 450, 'forb_shrink': 8} 57.1
1160 {'n_scm': 950, 'n_U0': 3904, 'n_full_enum': 916, 'n_query_pos': 6291, 'n_trial': 201564, 'n_stamped': 157492, 'n_pos': 153142, 'n_Dcheck': 453579, 'n_rejected': 44072, 'n_moved': 24127, 'O_lost': 7206, 'n_abort': 4350, 'n_abort_unamen': 4350, 'cn_shrink': 474, 'forb_shrink': 8} 59.7
1180 {'n_scm': 968, 'n_U0': 3976, 'n_full_enum': 933, 'n_query_pos': 6434, 'n_trial': 205648, 'n_stamped': 160243, 'n_pos': 155832, 'n_Dcheck': 461805, 'n_rejected': 45405, 'n_moved': 24535, 'O_lost': 7283, 'n_abort': 4411, 'n_abort_unamen': 4411, 'cn_shrink': 476, 'forb_shrink': 8} 61.7
