network,n,seed,method,status,seconds,wall_s,n_nodes,n_true_edges,n_learned_edges,n_directed,n_undirected,undirected_fraction,n_conflict_edges,n_other_endpoints,meek_closed_on_arrival,closure_ok,n_forced_by_closure,acyclic,skeleton_tp,skeleton_precision,skeleton_recall,n_directed_in_truth,oriented_correct,n_components_ge2,max_component,ari_vs_oracle,is_reference,sample_sha256,components
arth150,5000,5,pc,ok,79.9,900,107,150,129,94,35,0.271318,0,0,0,0,0,1,123,0.953488,0.82,88,0.568182,8,14,0.360057,0,6bc493cfbc8ebd32,"[[""100"", ""245"", ""296"", ""412""], [""111"", ""496""], [""13"", ""422"", ""629"", ""736""], [""155"", ""187"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""603"", ""640"", ""679"", ""781"", ""783""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8"", ""86""], [""328"", ""519""], [""4"", ""539"", ""585"", ""596"", ""758"", ""778"", ""93""], [""480"", ""61""]]"
arth150,5000,6,pc,ok,191.7,900,107,150,132,97,35,0.265152,0,0,0,0,0,0,121,0.916667,0.806667,86,0.581395,8,14,0.367174,0,483f58fb11a6032f,"[[""100"", ""245"", ""296"", ""412""], [""111"", ""496"", ""537""], [""13"", ""422"", ""629"", ""677"", ""714"", ""736""], [""155"", ""187"", ""20"", ""226"", ""26"", ""269"", ""454"", ""547"", ""573"", ""603"", ""640"", ""679"", ""781"", ""783""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8"", ""86""], [""289"", ""414"", ""786""], [""328"", ""519""], [""480"", ""61""]]"
arth150,5000,7,pc,ok,167.2,900,107,150,125,96,29,0.232,0,0,0,0,0,1,120,0.96,0.8,92,0.543478,8,11,0.363248,0,88664483b959f429,"[[""100"", ""245"", ""296"", ""412""], [""111"", ""496"", ""537""], [""13"", ""331"", ""422"", ""629"", ""736""], [""144"", ""377""], [""155"", ""20"", ""26"", ""269"", ""454"", ""547"", ""603"", ""640"", ""679"", ""781"", ""783""], [""209"", ""299"", ""444"", ""540"", ""63"", ""738"", ""8"", ""86""], [""328"", ""519""], [""480"", ""61""]]"
arth150,5000,8,pc,ok,100.3,900,107,150,138,99,39,0.282609,0,0,0,0,0,0,125,0.905797,0.833333,88,0.556818,10,10,0.254421,0,e52d05e4d7150e1f,"[[""100"", ""245"", ""296"", ""412""], [""111"", ""496"", ""537""], [""13"", ""289"", ""331"", ""414"", ""422"", ""629"", ""677"", ""714"", ""736"", ""786""], [""155"", ""187"", ""26"", ""454"", ""547"", ""603"", ""640"", ""679"", ""781"", ""783""], [""209"", ""444"", ""540"", ""63"", ""738"", ""8""], [""226"", ""573""], [""328"", ""519""], [""360"", ""4"", ""539"", ""596"", ""758"", ""778"", ""93""], [""377"", ""61""], [""378"", ""38""]]"
arth150,5000,9,pc,ok,229.8,900,107,150,131,90,41,0.312977,0,0,1,1,0,1,122,0.931298,0.813333,82,0.560976,11,12,0.376174,0,eb19b1b7aec17c9a,"[[""100"", ""245"", ""296"", ""412""], [""101"", ""443"", ""565"", ""600"", ""699""], [""111"", ""496"", ""537""], [""155"", ""187"", ""20"", ""26"", ""269"", ""454"", ""547"", ""603"", ""640"", ""679"", ""781"", ""783""], [""197"", ""360"", ""4"", ""539"", ""585"", ""758"", ""778"", ""93""], [""209"", ""299"", ""444"", ""540"", ""738"", ""8"", ""86""], [""219"", ""651""], [""289"", ""726"", ""78"", ""786""], [""328"", ""519""], [""480"", ""61""], [""779"", ""798""]]"
ecoli70,200,0,ges,ok,13.6,900,46,70,89,84,5,0.05618,0,0,1,1,0,1,61,0.685393,0.871429,56,0.857143,1,6,0.285457,0,9b6cd705f63ff07e,"[[""atpG"", ""eutG"", ""flgD"", ""gltA"", ""sucA"", ""sucD""]]"
ecoli70,200,1,ges,ok,12.5,900,46,70,88,85,3,0.034091,0,0,1,1,0,1,60,0.681818,0.857143,57,0.842105,3,2,0.063725,0,2d483ba2d3597553,"[[""asnA"", ""icdA""], [""fixC"", ""ygbD""], [""hupB"", ""yfiA""]]"
ecoli70,200,2,ges,ok,8.8,900,46,70,84,83,1,0.011905,0,0,1,1,0,1,60,0.714286,0.857143,59,0.847458,1,2,-0.001913,0,c8513e34e78b55b5,"[[""lacY"", ""nuoM""]]"
ecoli70,200,3,ges,ok,14.8,900,46,70,91,90,1,0.010989,0,0,1,1,0,1,57,0.626374,0.814286,56,0.785714,1,2,0.021661,0,ef449ea300e5c9da,"[[""cspA"", ""yfiA""]]"
ecoli70,200,4,ges,ok,10.1,900,46,70,85,80,5,0.058824,0,0,1,1,0,1,57,0.670588,0.814286,53,0.811321,2,5,0.131036,0,b12aafc13d46dd28,"[[""asnA"", ""icdA""], [""nmpC"", ""pspA"", ""pspB"", ""yedE"", ""yjbO""]]"
