stratum,stratum_class,arm,radius_bucket,n_units,n_networks,endpoint_raw_name,median_endpoint_raw,q1_endpoint_raw,q3_endpoint_raw,endpoint_usable_name,median_endpoint_usable,q1_endpoint_usable,q3_endpoint_usable
flip_cov100_bw010,primary,flip,2,334,18,AUC_frac,0.39890427696734354,0.33740000000000003,0.6491719582919072,AUC_frac_usable,0.39890427696734354,0.33740000000000003,0.6491719582919072
flip_cov100_bw010,primary,flip,3,133,3,AUC_frac,0.5999402985074628,0.5928604826546003,0.6046599690880987,AUC_frac_usable,0.5999402985074628,0.5928604826546003,0.6046599690880987
flip_cov100_bw010,primary,flip,4,6,2,AUC_frac,0.41425,0.0,0.82925,AUC_frac_usable,0.41425,0.0,0.82925
flip_cov100_bw010,primary,flip,5+,48,1,AUC_frac,0.0,0.0,0.0,AUC_frac_usable,0.0,0.0,0.0
flip_cov100_bw025,primary,flip,1,818,22,AUC_frac,0.3923841060289056,0.2735222509549002,0.44774650488342294,AUC_frac_usable,0.3923841060289056,0.2735222509549002,0.44774650488342294
flip_cov100_bw025,primary,flip,2,304,20,AUC_frac,0.47182691163635226,0.33949999999999997,0.5404673148758514,AUC_frac_usable,0.47182691163635226,0.33949999999999997,0.5404673148758514
flip_cov100_bw025,primary,flip,3,86,8,AUC_frac,0.6414833413430888,0.5392604481344797,0.8464601769911505,AUC_frac_usable,0.6414833413430888,0.5392604481344797,0.8464601769911505
flip_cov100_bw025,primary,flip,4,129,2,AUC_frac,0.6472136222910216,0.6451183431952663,0.6535398230088495,AUC_frac_usable,0.6472136222910216,0.6451183431952663,0.6535398230088495
flip_cov100_bw025,primary,flip,5+,49,2,AUC_frac,0.0,0.0,0.0,AUC_frac_usable,0.0,0.0,0.0
flip_cov100_bwa1,supplementary,flip,1,885,20,AUC_frac,0.43296868555414764,0.30798209184326103,0.4506265441682391,AUC_frac_usable,0.43588879097180355,0.30798209184326103,0.45209643109446995
flip_cov100_bwa1,supplementary,flip,2,204,18,AUC_frac,0.5758676571437038,0.35945000000000005,0.6254063064414817,AUC_frac_usable,0.5758676571437038,0.35945000000000005,0.6254063064414817
flip_cov100_bwa1,supplementary,flip,3,43,4,AUC_frac,0.741,0.7198,0.7518796992481205,AUC_frac_usable,0.741,0.7198,0.7518796992481205
flip_cov100_bwa1,supplementary,flip,4,18,1,AUC_frac,0.7589428984045481,0.7518796992481205,0.7660060975609757,AUC_frac_usable,0.7589428984045481,0.7518796992481205,0.7660060975609757
flip_cov100_bwa1,supplementary,flip,5+,3,1,AUC_frac,0.898,0.8975500000000001,0.9011499999999999,AUC_frac_usable,0.898,0.8975500000000001,0.9011499999999999
tiered_nt2,primary,tiered,1,43,11,AUC_rate,0.6462027566027174,0.5780626883822154,0.7442964316493956,AUC_rate_usable,0.6481147966560533,0.5780626883822154,0.7465933542638477
tiered_nt2,primary,tiered,2,9,3,AUC_rate,0.7116543587131822,0.7059030686821992,0.7570853094521565,AUC_rate_usable,0.7570853094521565,0.7059030686821992,0.7570853094521565
tiered_nt2,primary,tiered,3,2,1,AUC_rate,0.7849842967490026,0.7849842967490026,0.7849842967490026,AUC_rate_usable,0.9825210084033614,0.9825210084033614,0.9825210084033614
tiered_nt2,primary,tiered,4,2,1,AUC_rate,0.8989898989898989,0.8989898989898989,0.8989898989898989,AUC_rate_usable,1.0,1.0,1.0
tiered_nt2,primary,tiered,5+,4,1,AUC_rate,0.9595959595959596,0.9494949494949495,0.9696969696969696,AUC_rate_usable,1.0,1.0,1.0
tiered_nt3,primary,tiered,1,115,17,AUC_rate,0.7792625586069465,0.6096680134484423,0.8642946191290647,AUC_rate_usable,0.7792625586069465,0.6096680134484423,0.8642946191290647
tiered_nt3,primary,tiered,2,48,9,AUC_rate,0.848100697403597,0.740698558138958,0.8848849537031331,AUC_rate_usable,0.8589658241063115,0.740698558138958,0.8848849537031331
tiered_nt3,primary,tiered,3,1,1,AUC_rate,0.8181818181818182,0.8181818181818182,0.8181818181818182,AUC_rate_usable,1.0,1.0,1.0
tiered_nt3,primary,tiered,4,2,1,AUC_rate,0.8181818181818182,0.8181818181818182,0.8181818181818182,AUC_rate_usable,1.0,1.0,1.0
tiered_nt3,primary,tiered,5+,10,1,AUC_rate,1.0,1.0,1.0,AUC_rate_usable,1.0,1.0,1.0
tiered_nt4,primary,tiered,1,190,18,AUC_rate,0.8214752025808452,0.7134524893730148,0.8893189206766063,AUC_rate_usable,0.8244478171322378,0.7134524893730148,0.8893189206766063
tiered_nt4,primary,tiered,2,60,9,AUC_rate,0.9355783071301481,0.7868023840253429,0.9491911608087118,AUC_rate_usable,0.9355783071301481,0.7868023840253429,0.9491911608087118
tiered_nt4,primary,tiered,3,2,2,AUC_rate,0.9931660502749868,0.9912642269276317,0.9950678736223418,AUC_rate_usable,0.991347868456805,0.9903551360185407,0.9923406008950693
tiered_nt4,primary,tiered,4,1,1,AUC_rate,1.0,1.0,1.0,AUC_rate_usable,1.0,1.0,1.0
tiered_nt4,primary,tiered,5+,12,1,AUC_rate,1.0,1.0,1.0,AUC_rate_usable,1.0,1.0,1.0
