stratum,stratum_class,arm,predictor,endpoint,status,n,n_networks,stratum_n_units,n_excluded_unreached,n_excluded_nan,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan,loo_tau_min,loo_tau_max,loo_network_at_min,loo_network_at_max,loo_verdict_flips,r_assumes,median_endpoint_pair_weighted,median_endpoint_network_weighted
flip_cov025_bw025,supplementary,flip,shd_truth,AUC_frac_usable,ok,318,8,318,0,0,-0.38636818549927426,4.866554516339871e-17,-0.7754029469531422,0.6534881168532116,6,-0.5651111542124828,0.1313942671841954,Kampen_2014,insurance,True,,0.3430000000000001,0.23898749999999996
flip_cov025_bw025,supplementary,flip,n_k,AUC_frac,ok,318,8,318,0,0,0.8019290158944388,1.3603712195792108e-57,0.3768108056066849,0.9869551967644302,228,0.5951173957301589,0.9253944353363627,insurance,barley,False,,0.3430000000000001,0.23898749999999996
flip_cov025_bw025,supplementary,flip,n_k,AUC_frac_usable,ok,318,8,318,0,0,0.8019290158944388,1.3603712195792108e-57,0.3768108056066849,0.9869551967644302,228,0.5951173957301589,0.9253944353363627,insurance,barley,False,,0.3430000000000001,0.23898749999999996
flip_cov025_bw025,supplementary,flip,k_g0,AUC_frac,ok,318,8,318,0,0,-0.5244321932304932,8.42706123373727e-30,-0.8689369868185983,0.19368407439176633,9,-0.6784668806902409,-0.12564995151967084,barley,insurance,False,,0.3430000000000001,0.23898749999999996
flip_cov025_bw025,supplementary,flip,k_g0,AUC_frac_usable,ok,318,8,318,0,0,-0.5244321932304932,8.42706123373727e-30,-0.8689369868185983,0.19368407439176633,9,-0.6784668806902409,-0.12564995151967084,barley,insurance,False,,0.3430000000000001,0.23898749999999996
flip_cov025_bwa1,supplementary,flip,radius,AUC_frac,ok,112,5,318,0,206,0.0785662691340324,0.3399667586985471,-0.21268662885626083,0.7212705552515175,120,-0.00367533200596876,0.19006084031402246,munin1,magic-niab,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.3556,0.34895
flip_cov025_bwa1,supplementary,flip,radius,AUC_frac_usable,ok,112,5,318,0,206,0.0785662691340324,0.3399667586985471,-0.21268662885626083,0.7212705552515175,120,-0.00367533200596876,0.19006084031402246,munin1,magic-niab,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.3556,0.34895
flip_cov025_bwa1,supplementary,flip,shd_truth,AUC_frac,ok,112,5,318,0,206,-0.2643648649393593,0.0008405337594811145,-0.37679388228059424,0.28781992259103234,14,-0.3279448902494572,0.10150575027565535,Sebastiani_2005,magic-niab,True,,0.3556,0.34895
flip_cov025_bwa1,supplementary,flip,shd_truth,AUC_frac_usable,ok,112,5,318,0,206,-0.2643648649393593,0.0008405337594811145,-0.37679388228059424,0.28781992259103234,14,-0.3279448902494572,0.10150575027565535,Sebastiani_2005,magic-niab,True,,0.3556,0.34895
flip_cov025_bwa1,supplementary,flip,n_k,AUC_frac,undefined (predictor constant),112,5,318,0,206,,,,,,,,,,,,0.3556,0.34895
flip_cov025_bwa1,supplementary,flip,n_k,AUC_frac_usable,undefined (predictor constant),112,5,318,0,206,,,,,,,,,,,,0.3556,0.34895
flip_cov025_bwa1,supplementary,flip,k_g0,AUC_frac,ok,112,5,318,0,206,0.005482311759109498,0.946710379401781,-0.0836836655671774,0.05628814759700058,777,-0.014666989706145557,0.018381400570255876,barley,magic-niab,True,,0.3556,0.34895
flip_cov025_bwa1,supplementary,flip,k_g0,AUC_frac_usable,ok,112,5,318,0,206,0.005482311759109498,0.946710379401781,-0.0836836655671774,0.05628814759700058,777,-0.014666989706145557,0.018381400570255876,barley,magic-niab,True,,0.3556,0.34895
flip_cov050_bw000,primary,flip,radius,AUC_frac,ok,182,17,182,0,0,0.19074657597977682,0.0027083882523887817,-0.4411155861684999,0.6455255244588036,0,-0.12816722553809295,0.380865922432661,insurance,child,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.42329999999999995,0.32734432428641674
flip_cov050_bw000,primary,flip,radius,AUC_frac_usable,ok,182,17,182,0,0,0.19074657597977682,0.0027083882523887817,-0.4411155861684999,0.6455255244588036,0,-0.12816722553809295,0.380865922432661,insurance,child,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.42329999999999995,0.32734432428641674
flip_cov050_bw000,primary,flip,shd_truth,AUC_frac,ok,182,17,182,0,0,0.4255242108263896,1.1376953219188617e-13,-0.09473185171994493,0.7766607175262232,0,0.22746989194828343,0.5511608342278734,insurance,barley,False,,0.42329999999999995,0.32734432428641674
flip_cov050_bw000,primary,flip,shd_truth,AUC_frac_usable,ok,182,17,182,0,0,0.4255242108263896,1.1376953219188617e-13,-0.09473185171994493,0.7766607175262232,0,0.22746989194828343,0.5511608342278734,insurance,barley,False,,0.42329999999999995,0.32734432428641674
flip_cov050_bw000,primary,flip,n_k,AUC_frac,ok,182,17,182,0,0,0.17908665224018422,0.0027444806318128777,-0.4004309270528255,0.7912528937358783,0,-0.02888644373981807,0.5420184739640618,child,insurance,True,,0.42329999999999995,0.32734432428641674
flip_cov050_bw000,primary,flip,n_k,AUC_frac_usable,ok,182,17,182,0,0,0.17908665224018422,0.0027444806318128777,-0.4004309270528255,0.7912528937358783,0,-0.02888644373981807,0.5420184739640618,child,insurance,True,,0.42329999999999995,0.32734432428641674
flip_cov050_bw000,primary,flip,k_g0,AUC_frac,ok,182,17,182,0,0,0.2691653334394261,2.6939543145684235e-06,-0.38222800934915,0.723705449225156,0,-0.0370791800549818,0.4397436223835188,insurance,child,True,,0.42329999999999995,0.32734432428641674
flip_cov050_bw000,primary,flip,k_g0,AUC_frac_usable,ok,182,17,182,0,0,0.2691653334394261,2.6939543145684235e-06,-0.38222800934915,0.723705449225156,0,-0.0370791800549818,0.4397436223835188,insurance,child,True,,0.42329999999999995,0.32734432428641674
flip_cov050_bw010,primary,flip,radius,AUC_frac,ok,546,17,546,0,0,0.13973192068019674,9.504713037895363e-05,-0.44161401740408207,0.5607491340311642,0,-0.18883028941638805,0.31265723116614386,insurance,child,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.42000000000000004,0.3280699439849523
flip_cov050_bw010,primary,flip,radius,AUC_frac_usable,ok,546,17,546,0,0,0.13973192068019674,9.504713037895363e-05,-0.44161401740408207,0.5607491340311642,0,-0.18883028941638805,0.31265723116614386,insurance,child,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.42000000000000004,0.3280699439849523
flip_cov050_bw010,primary,flip,shd_truth,AUC_frac,ok,546,17,546,0,0,0.4317048874550582,7.512695543286156e-41,-0.06008314173706162,0.7398502060109038,0,0.24428503733550988,0.5493419869765185,insurance,barley,False,,0.42000000000000004,0.3280699439849523
flip_cov050_bw010,primary,flip,shd_truth,AUC_frac_usable,ok,546,17,546,0,0,0.4317048874550582,7.512695543286156e-41,-0.06008314173706162,0.7398502060109038,0,0.24428503733550988,0.5493419869765185,insurance,barley,False,,0.42000000000000004,0.3280699439849523
flip_cov050_bw010,primary,flip,n_k,AUC_frac,ok,546,17,546,0,0,0.1538256124873136,4.857007536347688e-06,-0.3941042592034816,0.7703989358686721,0,-0.05342344877201445,0.4966322755830382,child,insurance,True,,0.42000000000000004,0.3280699439849523
flip_cov050_bw010,primary,flip,n_k,AUC_frac_usable,ok,546,17,546,0,0,0.1538256124873136,4.857007536347688e-06,-0.3941042592034816,0.7703989358686721,0,-0.05342344877201445,0.4966322755830382,child,insurance,True,,0.42000000000000004,0.3280699439849523
flip_cov050_bw010,primary,flip,k_g0,AUC_frac,ok,546,17,546,0,0,0.24149494143758563,7.32052142210045e-14,-0.39933006225400675,0.6627839927550737,0,-0.07376079859907711,0.4000491998084738,insurance,child,True,,0.42000000000000004,0.3280699439849523
flip_cov050_bw010,primary,flip,k_g0,AUC_frac_usable,ok,546,17,546,0,0,0.24149494143758563,7.32052142210045e-14,-0.39933006225400675,0.6627839927550737,0,-0.07376079859907711,0.4000491998084738,insurance,child,True,,0.42000000000000004,0.3280699439849523
flip_cov050_bw025,primary,flip,radius,AUC_frac,ok,515,17,546,0,31,0.11169010319610785,0.0025135320668763506,-0.46816236729728256,0.56688070720206,0,-0.25432524624865954,0.2828040381166396,insurance,child,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.42350000000000004,0.3018157408539936
flip_cov050_bw025,primary,flip,radius,AUC_frac_usable,ok,515,17,546,0,31,0.11169010319610785,0.0025135320668763506,-0.46816236729728256,0.56688070720206,0,-0.25432524624865954,0.2828040381166396,insurance,child,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.42350000000000004,0.3018157408539936
flip_cov050_bw025,primary,flip,shd_truth,AUC_frac,ok,515,17,546,0,31,0.539591281918056,8.924687439843398e-61,0.18959925151071477,0.7529885975029527,0,0.4424873803289545,0.5842741986738027,child,magic-niab,False,,0.42350000000000004,0.3018157408539936
flip_cov050_bw025,primary,flip,shd_truth,AUC_frac_usable,ok,515,17,546,0,31,0.539591281918056,8.924687439843398e-61,0.18959925151071477,0.7529885975029527,0,0.4424873803289545,0.5842741986738027,child,magic-niab,False,,0.42350000000000004,0.3018157408539936
flip_cov050_bw025,primary,flip,n_k,AUC_frac,ok,515,17,546,0,31,0.27725964358203203,1.732169991061154e-15,-0.2826061345436788,0.838751537677177,0,0.08997475255229696,0.6977776564455668,child,insurance,False,,0.42350000000000004,0.3018157408539936
flip_cov050_bw025,primary,flip,n_k,AUC_frac_usable,ok,515,17,546,0,31,0.27725964358203203,1.732169991061154e-15,-0.2826061345436788,0.838751537677177,0,0.08997475255229696,0.6977776564455668,child,insurance,False,,0.42350000000000004,0.3018157408539936
flip_cov050_bw025,primary,flip,k_g0,AUC_frac,ok,515,17,546,0,31,0.30857273382081857,9.94497901597102e-22,-0.34308829388594964,0.6486096197260551,0,0.02695478954593697,0.47874411864739125,insurance,child,False,,0.42350000000000004,0.3018157408539936
flip_cov050_bw025,primary,flip,k_g0,AUC_frac_usable,ok,515,17,546,0,31,0.30857273382081857,9.94497901597102e-22,-0.34308829388594964,0.6486096197260551,0,0.02695478954593697,0.47874411864739125,insurance,child,False,,0.42350000000000004,0.3018157408539936
flip_cov050_bwa1,supplementary,flip,radius,AUC_frac,ok,310,15,546,0,236,0.4444277481883542,3.8497507831761747e-22,0.10688667359299706,0.774531389481762,23,0.2429966888965841,0.5648632745644163,insurance,barley,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.4227,0.3751628524006009
flip_cov050_bwa1,supplementary,flip,radius,AUC_frac_usable,ok,310,15,546,0,236,0.4444277481883542,3.8497507831761747e-22,0.10688667359299706,0.774531389481762,23,0.2429966888965841,0.5648632745644163,insurance,barley,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.4227,0.3751628524006009
flip_cov050_bwa1,supplementary,flip,shd_truth,AUC_frac,ok,310,15,546,0,236,-0.3019274689603861,1.3576339450588301e-12,-0.6209262376577758,0.20190921381469562,0,-0.36571568463684806,-0.12045315552642802,Shrier_2008,insurance,False,,0.4227,0.3751628524006009
flip_cov050_bwa1,supplementary,flip,shd_truth,AUC_frac_usable,ok,310,15,546,0,236,-0.3019274689603861,1.3576339450588301e-12,-0.6209262376577758,0.20190921381469562,0,-0.36571568463684806,-0.12045315552642802,Shrier_2008,insurance,False,,0.4227,0.3751628524006009
flip_cov050_bwa1,supplementary,flip,n_k,AUC_frac,ok,310,15,546,0,236,-0.041684836942965126,0.3595549067920595,-0.5053830800003336,0.5902140673189473,0,-0.19890536281950946,0.2174863590738346,water,insurance,True,,0.4227,0.3751628524006009
flip_cov050_bwa1,supplementary,flip,n_k,AUC_frac_usable,ok,310,15,546,0,236,-0.041684836942965126,0.3595549067920595,-0.5053830800003336,0.5902140673189473,0,-0.19890536281950946,0.2174863590738346,water,insurance,True,,0.4227,0.3751628524006009
flip_cov050_bwa1,supplementary,flip,k_g0,AUC_frac,ok,310,15,546,0,236,0.31091573651644755,2.5678011853419564e-13,-0.11745884132053645,0.7864505002478,0,0.12638676635030915,0.5146756098498174,insurance,barley,False,,0.4227,0.3751628524006009
flip_cov050_bwa1,supplementary,flip,k_g0,AUC_frac_usable,ok,310,15,546,0,236,0.31091573651644755,2.5678011853419564e-13,-0.11745884132053645,0.7864505002478,0,0.12638676635030915,0.5146756098498174,insurance,barley,False,,0.4227,0.3751628524006009
flip_cov100_bw000,primary,flip,radius,AUC_frac,ok,540,24,540,0,0,0.07105886884577793,0.038321733931990745,-0.343180147734947,0.3891916944358638,0,-0.14811328125470058,0.18140868570743232,insurance,paths,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.4056674347158219,0.31741736728949704
flip_cov100_bw000,primary,flip,radius,AUC_frac_usable,ok,540,24,540,0,0,0.06377025915559671,0.06303697174464695,-0.3510860280511082,0.38100731842192176,0,-0.15627206369669683,0.1732311721251912,insurance,paths,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.4056674347158219,0.3196743117339415
flip_cov100_bw000,primary,flip,shd_truth,AUC_frac,undefined (predictor constant),540,24,540,0,0,,,,,,,,,,,,0.4056674347158219,0.31741736728949704
flip_cov100_bw000,primary,flip,shd_truth,AUC_frac_usable,undefined (predictor constant),540,24,540,0,0,,,,,,,,,,,,0.4056674347158219,0.3196743117339415
flip_cov100_bw000,primary,flip,n_k,AUC_frac,ok,540,24,540,0,0,0.2907917244962348,1.0181095792337904e-20,0.09415104776562386,0.5512579003228644,0,0.23446349284929272,0.3825026077089252,paths,insurance,False,,0.4056674347158219,0.31741736728949704
flip_cov100_bw000,primary,flip,n_k,AUC_frac_usable,ok,540,24,540,0,0,0.30320729637188243,2.18769679069612e-22,0.11402703172343014,0.5645106030160904,0,0.24787305911279023,0.39366605800456855,paths,insurance,False,,0.4056674347158219,0.3196743117339415
flip_cov100_bw000,primary,flip,k_g0,AUC_frac,ok,540,24,540,0,0,0.1380760485351907,8.554278293921892e-06,-0.1592643789633389,0.3611103311640334,0,0.043266341751423076,0.23192666491732686,diabetes,barley,False,,0.4056674347158219,0.31741736728949704
flip_cov100_bw000,primary,flip,k_g0,AUC_frac_usable,ok,540,24,540,0,0,0.1504437625916282,1.2378029947703408e-06,-0.1437416887884953,0.3745876132776352,0,0.061342546539057005,0.24874297314114893,diabetes,barley,False,,0.4056674347158219,0.3196743117339415
flip_cov100_bw010,primary,flip,radius,AUC_frac,ok,1579,24,1629,0,50,0.13537601598691015,9.851475162940034e-12,-0.28475085335745803,0.4215455163705566,0,-0.0627721389012274,0.2512425031017027,insurance,paths,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.4099274833769898,0.32574202061007257
flip_cov100_bw010,primary,flip,radius,AUC_frac_usable,ok,1579,24,1629,0,50,0.12632490904524413,2.105578989472938e-10,-0.2988291718646759,0.4135358722576968,0,-0.07511326329685705,0.24111270811675647,insurance,paths,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.4099274833769898,0.33594224512414933
flip_cov100_bw010,primary,flip,shd_truth,AUC_frac,ok,1579,24,1629,0,50,0.241367556170109,9.491274901563266e-36,0.021206514021585143,0.505421644909597,0,0.19998166265737152,0.3766880721387766,diabetes,insurance,False,,0.4099274833769898,0.32574202061007257
flip_cov100_bw010,primary,flip,shd_truth,AUC_frac_usable,ok,1579,24,1629,0,50,0.25982410200025896,3.757110587973608e-41,0.043311822333669286,0.522489639668871,0,0.22860528856702134,0.40125079891270377,paths,insurance,False,,0.4099274833769898,0.33594224512414933
flip_cov100_bw010,primary,flip,n_k,AUC_frac,ok,1579,24,1629,0,50,0.30428267766636136,3.2116394242076434e-63,0.10175346752727135,0.5696206528480436,0,0.24787567270227073,0.4135453775587451,paths,insurance,False,,0.4099274833769898,0.32574202061007257
flip_cov100_bw010,primary,flip,n_k,AUC_frac_usable,ok,1579,24,1629,0,50,0.32056784756107964,5.7747256795570565e-70,0.12069839176034554,0.5840122813843481,0,0.265493600462473,0.4359725231723016,paths,insurance,False,,0.4099274833769898,0.33594224512414933
flip_cov100_bw010,primary,flip,k_g0,AUC_frac,ok,1579,24,1629,0,50,0.14643160371598357,5.126134662204835e-16,-0.17377108119615484,0.36320200592199325,0,0.06448809037864262,0.23867923076597305,diabetes,barley,False,,0.4099274833769898,0.32574202061007257
flip_cov100_bw010,primary,flip,k_g0,AUC_frac_usable,ok,1579,24,1629,0,50,0.16274831579279087,2.023558420703956e-19,-0.14064358009642994,0.37655408538821844,0,0.08852718052519958,0.24927536558288338,diabetes,barley,False,,0.4099274833769898,0.33594224512414933
flip_cov100_bw025,primary,flip,radius,AUC_frac,ok,1386,23,1629,0,243,0.2949872362187866,1.5083289682328527e-45,-0.2472945544788587,0.6102986354346212,0,0.017700669518201168,0.4313150205243903,insurance,paths,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.4425518447344906,0.3495060436955306
flip_cov100_bw025,primary,flip,radius,AUC_frac_usable,ok,1386,23,1629,0,243,0.2922494086052659,9.716633926274904e-45,-0.251430074267116,0.607778638173058,0,0.014116936726317428,0.4282460255406001,insurance,paths,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.4425518447344906,0.3510506661211599
flip_cov100_bw025,primary,flip,shd_truth,AUC_frac,ok,1386,23,1629,0,243,0.2078213491716445,7.670139192025475e-26,-0.03169126507241214,0.5084605588528411,0,0.1402597077831249,0.36775225303567344,paths,insurance,False,,0.4425518447344906,0.3495060436955306
flip_cov100_bw025,primary,flip,shd_truth,AUC_frac_usable,ok,1386,23,1629,0,243,0.21198786251089868,8.029553432644174e-27,-0.026412308691079613,0.5122201510442288,0,0.14480511366626453,0.373353591455499,paths,insurance,False,,0.4425518447344906,0.3510506661211599
flip_cov100_bw025,primary,flip,n_k,AUC_frac,ok,1386,23,1629,0,243,0.219020604436404,1.0482294607759918e-29,-0.035996578677195794,0.5829736707979977,0,0.14700728618827524,0.41089232411996823,paths,insurance,False,,0.4425518447344906,0.3495060436955306
flip_cov100_bw025,primary,flip,n_k,AUC_frac_usable,ok,1386,23,1629,0,243,0.2233624552346914,7.905821306212042e-31,-0.031579870410819756,0.5885440050737035,0,0.15175174759469567,0.41685034306542296,paths,insurance,False,,0.4425518447344906,0.3510506661211599
flip_cov100_bw025,primary,flip,k_g0,AUC_frac,ok,1386,23,1629,0,243,0.1588470553568872,1.5309056871502428e-16,-0.17206419163602532,0.34906369744437926,0,0.12223719316700868,0.1969426367068841,Acid_1996,barley,False,,0.4425518447344906,0.3495060436955306
flip_cov100_bw025,primary,flip,k_g0,AUC_frac_usable,ok,1386,23,1629,0,243,0.1632574254212833,2.1900350691794354e-17,-0.1591921669521177,0.3553019297433888,0,0.1268521122025129,0.20174457873946125,Acid_1996,barley,False,,0.4425518447344906,0.3510506661211599
flip_cov100_bwa1,supplementary,flip,radius,AUC_frac,ok,1146,21,1620,0,474,0.3064121265563222,3.550005640186652e-38,0.053920773169426235,0.5523503457731023,0,0.19160412611840338,0.3829019404762391,insurance,diabetes,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.4414058206226016,0.3969477119952849
flip_cov100_bwa1,supplementary,flip,radius,AUC_frac_usable,ok,1146,21,1620,0,474,0.2995305420966374,1.4770822338102354e-36,0.044776079071989223,0.543051461020974,0,0.18455512336004928,0.37226855191619734,insurance,diabetes,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.44197922397591805,0.41058925309682726
flip_cov100_bwa1,supplementary,flip,shd_truth,AUC_frac,ok,1146,21,1620,0,474,0.03127980795887708,0.1725764243430732,-0.24327459214922012,0.2575010737577513,1,-0.07090296131918397,0.09435328325328711,insurance,diabetes,True,,0.4414058206226016,0.3969477119952849
flip_cov100_bwa1,supplementary,flip,shd_truth,AUC_frac_usable,ok,1146,21,1620,0,474,0.020134129260886396,0.37996602640206134,-0.25842633377267243,0.2455681690036886,1,-0.08341616869958264,0.0768398073459151,insurance,diabetes,True,,0.44197922397591805,0.41058925309682726
flip_cov100_bwa1,supplementary,flip,n_k,AUC_frac,ok,1146,21,1620,0,474,0.15311244023515122,5.032009899193889e-13,-0.06342574859269991,0.3770893518332655,0,0.1041053124671688,0.22730725687644251,Acid_1996,insurance,False,,0.4414058206226016,0.3969477119952849
flip_cov100_bwa1,supplementary,flip,n_k,AUC_frac_usable,ok,1146,21,1620,0,474,0.17886017082362546,3.192204762063625e-17,-0.03497834369745477,0.41436284402314766,0,0.13136324243314643,0.2564132095074533,Acid_1996,insurance,False,,0.44197922397591805,0.41058925309682726
flip_cov100_bwa1,supplementary,flip,k_g0,AUC_frac,ok,1146,21,1620,0,474,0.04686842619565369,0.024955553285448,-0.21853828653534865,0.3197965555127812,0,-0.07329899761673032,0.14188567934343504,diabetes,barley,True,,0.4414058206226016,0.3969477119952849
flip_cov100_bwa1,supplementary,flip,k_g0,AUC_frac_usable,ok,1146,21,1620,0,474,0.0721720863775056,0.0005552824233784008,-0.19462810579281198,0.35584010541627037,0,-0.04248720287419621,0.17348115173693726,diabetes,barley,True,,0.44197922397591805,0.41058925309682726
tiered_nt2,primary,tiered,radius,AUC_rate,ok,60,11,543,0,483,0.5580636598782901,7.749821920027241e-08,0.1199846137058467,0.8739639501056149,316,0.3177748124097888,0.7163493861737381,paths,hailfinder,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.7016489829971106,0.656946560991973
tiered_nt2,primary,tiered,radius,AUC_rate_usable,ok,60,11,543,0,483,0.5802354721554341,2.557215664031584e-08,0.1199846137058467,0.854353792975285,316,0.3177748124097888,0.7208017747700755,paths,magic-niab,False,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",0.7059030686821992,0.6705168706585394
tiered_nt2,primary,tiered,shd_truth,AUC_rate,ok,60,11,543,0,483,0.5074853562508137,2.2174248612001048e-07,0.008872296384822046,0.6446144770310809,0,0.3607710693163376,0.5657583609558229,magic-niab,sachs,False,,0.7016489829971106,0.656946560991973
