stratum,stratum_class,predictor,endpoint,dropped_network,n,n_networks,tau_b,ci_lo_2p5,ci_hi_97p5,excludes_zero,full_tau_b,full_excludes_zero,loses_zero_exclusion
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,sachs,181,16,0.4384824145739963,-0.07088958599269389,0.793582620748114,False,0.4255242108263896,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,water,173,16,0.41553400655620143,-0.14680049609104617,0.784870378897881,False,0.4255242108263896,False,False
flip_cov050_bw000,primary,shd_truth,AUC_frac_usable,win95pts,179,16,0.43912826983740677,-0.08469479399725506,0.7878561686226248,False,0.4255242108263896,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,Kampen_2014,174,16,0.13369879095608114,-0.48847710318595444,0.8051407970377562,False,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,Polzer_2012,172,16,0.09418034085748268,-0.5141146016451592,0.763848366949674,False,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,Schipf_2010,180,16,0.1933824057969632,-0.4011530674489199,0.8025125758166375,False,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,Sebastiani_2005,178,16,0.1852656513896631,-0.4057011437454095,0.7975025578304571,False,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,Shrier_2008,179,16,0.14888028701016653,-0.4722351520449362,0.7677915435065196,False,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,asia,181,16,0.17172369091183784,-0.42270608030906826,0.7804899409222908,False,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,barley,120,16,0.3257292119755002,-0.36614033717062855,0.8354504152089438,False,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,child,165,16,-0.02888644373981807,-0.5353357802175543,0.6728097847849152,False,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,ecoli70,172,16,0.23441293665177637,-0.374848938704031,0.8261830048707343,False,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,hepar2,179,16,0.18433223438932458,-0.40266997793579107,0.805037070796842,False,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,insurance,149,16,0.5420184739640618,0.08474623593125616,0.8407197158038281,True,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,magic-niab,168,16,0.2006330623266815,-0.40051539196869274,0.8122838136619139,False,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,mediator,181,16,0.17322327627507306,-0.42920218564183776,0.7901487295124325,False,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,munin1,181,16,0.18759171981955747,-0.40497403132885107,0.7969377035779357,False,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,sachs,181,16,0.18187316671943005,-0.40849091410976146,0.7951724904851548,False,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,water,173,16,0.08104652189575227,-0.5309211148520245,0.7431090327014447,False,0.17908665224018422,False,False
flip_cov050_bw000,primary,n_k,AUC_frac_usable,win95pts,179,16,0.1841686742878256,-0.4132658045144821,0.7927487214973774,False,0.17908665224018422,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,Kampen_2014,522,16,0.169017153027012,-0.5036016416414256,0.6149184182510079,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,Polzer_2012,516,16,0.1881399009225286,-0.4384167042085157,0.6152870737863307,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,Schipf_2010,540,16,0.14702156259158128,-0.4183670472311348,0.5621481397795182,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,Sebastiani_2005,534,16,0.13727812252257063,-0.431529834688713,0.5531894369908614,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,Shrier_2008,537,16,0.1251597154658068,-0.46062841482010175,0.5463878786931197,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,asia,543,16,0.13820735941536202,-0.42773753735907866,0.5559475391911624,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,barley,360,16,0.17953406118598955,-0.5454520932298887,0.6173361399073752,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,child,495,16,0.31265723116614386,-0.19222363476076124,0.6215306645190251,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,ecoli70,516,16,0.13475459982077376,-0.4225848753077205,0.5514440144319638,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,hepar2,537,16,0.14449049603301678,-0.4326434383305994,0.5565723645868184,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,insurance,447,16,-0.18883028941638805,-0.5514934891884791,0.12395717140058841,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,magic-niab,504,16,0.14658652965539945,-0.482397006959978,0.5811720765435098,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,mediator,543,16,0.1349738244745442,-0.44386974840251997,0.5567344454982235,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,munin1,543,16,0.14333889377874626,-0.42712834708266667,0.5647589363359167,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,sachs,543,16,0.13679176372891122,-0.43648110163372467,0.5592222563346495,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,water,519,16,0.12174841673676615,-0.5094367776692122,0.5655219016545515,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,radius,AUC_frac_usable,win95pts,537,16,0.14372573247623133,-0.4230184196879887,0.5615339478293326,False,0.13973192068019674,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,Kampen_2014,522,16,0.4118047440411137,-0.14285375175173953,0.7567938207035398,False,0.4317048874550582,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,Polzer_2012,516,16,0.4975276296512864,0.025229158892622845,0.764035070263364,True,0.4317048874550582,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,Schipf_2010,540,16,0.42668514285844017,-0.08564411647384222,0.7422569858736657,False,0.4317048874550582,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,Sebastiani_2005,534,16,0.4299136065073186,-0.0861336600650453,0.7448531313402608,False,0.4317048874550582,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,Shrier_2008,537,16,0.4160105671277911,-0.12038394464110581,0.7387478140801463,False,0.4317048874550582,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,asia,543,16,0.42904044047148693,-0.08394576608676446,0.7441704761759433,False,0.4317048874550582,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,barley,360,16,0.5493419869765185,0.09349048061881951,0.7749398658592729,True,0.4317048874550582,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,child,495,16,0.3107458244561061,-0.1753478007181483,0.6592689001419914,False,0.4317048874550582,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,ecoli70,516,16,0.5377905887996787,0.0261719317850018,0.7776476693384601,True,0.4317048874550582,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,hepar2,537,16,0.42921225348544617,-0.07043765336264758,0.7418260591120903,False,0.4317048874550582,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,insurance,447,16,0.24428503733550988,-0.16472757955930661,0.6701602500346694,False,0.4317048874550582,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,magic-niab,504,16,0.4631182361230025,-0.05619484462115666,0.7525887961278617,False,0.4317048874550582,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,mediator,543,16,0.42587982067552216,-0.07709336942865366,0.7302008522372909,False,0.4317048874550582,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,munin1,543,16,0.4292194615206662,-0.06634245986730158,0.7354937634914487,False,0.4317048874550582,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,sachs,543,16,0.44440204750017914,-0.04975525617143289,0.7537398007386465,False,0.4317048874550582,False,False
flip_cov050_bw010,primary,shd_truth,AUC_frac_usable,water,519,16,0.4224790732908994,-0.1274792298220338,0.7517562500686389,False,0.4317048874550582,False,False
