instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s01_cov050_seed00000014_bw025,6,1,0.5,0.25,1000,2,0,1000,1.0,,0.0
c06_s01_cov050_seed00000015_bw025,6,1,0.5,0.25,200,1,64,136,0.68,0.0,0.0
c06_s01_cov050_seed00000015_bw025,6,1,0.5,0.25,200,2,127,73,0.365,0.0,0.0
c06_s01_cov050_seed00000015_bw025,6,1,0.5,0.25,200,3,200,0,0.0,0.0,0.0
c06_s01_cov050_seed00000015_bw025,6,1,0.5,0.25,1000,1,331,669,0.669,0.0,0.0
c06_s01_cov050_seed00000015_bw025,6,1,0.5,0.25,1000,2,658,342,0.342,0.0,0.0
c06_s01_cov050_seed00000015_bw025,6,1,0.5,0.25,1000,3,1000,0,0.0,0.0,0.0
c06_s01_cov050_seed00000016_bw025,6,1,0.5,0.25,200,1,130,70,0.35,0.49230769230769234,0.32
c06_s01_cov050_seed00000016_bw025,6,1,0.5,0.25,200,2,63,137,0.685,0.0,0.0
c06_s01_cov050_seed00000016_bw025,6,1,0.5,0.25,200,3,200,0,0.0,0.0,0.0
c06_s01_cov050_seed00000016_bw025,6,1,0.5,0.25,1000,1,661,339,0.339,0.5052950075642966,0.334
c06_s01_cov050_seed00000016_bw025,6,1,0.5,0.25,1000,2,355,645,0.645,0.0,0.0
c06_s01_cov050_seed00000016_bw025,6,1,0.5,0.25,1000,3,1000,0,0.0,0.0,0.0
c06_s01_cov050_seed00000017_bw025,6,1,0.5,0.25,200,1,200,0,0.0,0.745,0.745
c06_s01_cov050_seed00000017_bw025,6,1,0.5,0.25,200,2,150,50,0.25,0.23333333333333334,0.175
c06_s01_cov050_seed00000017_bw025,6,1,0.5,0.25,200,3,43,157,0.785,0.0,0.0
c06_s01_cov050_seed00000017_bw025,6,1,0.5,0.25,200,4,0,200,1.0,,0.0
c06_s01_cov050_seed00000017_bw025,6,1,0.5,0.25,1000,1,1000,0,0.0,0.757,0.757
c06_s01_cov050_seed00000017_bw025,6,1,0.5,0.25,1000,2,678,322,0.322,0.2182890855457227,0.148
c06_s01_cov050_seed00000017_bw025,6,1,0.5,0.25,1000,3,249,751,0.751,0.0,0.0
c06_s01_cov050_seed00000017_bw025,6,1,0.5,0.25,1000,4,0,1000,1.0,,0.0
c06_s01_cov050_seed00000018_bw025,6,1,0.5,0.25,200,1,133,67,0.335,0.0,0.0
c06_s01_cov050_seed00000018_bw025,6,1,0.5,0.25,200,2,124,76,0.38,0.0,0.0
c06_s01_cov050_seed00000018_bw025,6,1,0.5,0.25,200,3,0,200,1.0,,0.0
c06_s01_cov050_seed00000018_bw025,6,1,0.5,0.25,1000,1,658,342,0.342,0.0,0.0
c06_s01_cov050_seed00000018_bw025,6,1,0.5,0.25,1000,2,684,316,0.316,0.0,0.0
c06_s01_cov050_seed00000018_bw025,6,1,0.5,0.25,1000,3,0,1000,1.0,,0.0
c06_s01_cov050_seed00000019_bw025,6,1,0.5,0.25,200,1,64,136,0.68,0.0,0.0
c06_s01_cov050_seed00000019_bw025,6,1,0.5,0.25,200,2,136,64,0.32,0.0,0.0
c06_s01_cov050_seed00000019_bw025,6,1,0.5,0.25,200,3,0,200,1.0,,0.0
c06_s01_cov050_seed00000019_bw025,6,1,0.5,0.25,1000,1,339,661,0.661,0.0,0.0
c06_s01_cov050_seed00000019_bw025,6,1,0.5,0.25,1000,2,671,329,0.329,0.0,0.0
c06_s01_cov050_seed00000019_bw025,6,1,0.5,0.25,1000,3,0,1000,1.0,,0.0
