origin,network,base_id,component_size,separation,base_seed,treatment,outcome,proposal_id,proposal_size,label,n_on_path,orientations,gate,status,n_menu_members,n_valid_menu_members,n_sem_valid,n_sem_total,achievable_utility_median,achievable_utility_q25,achievable_utility_q75,winning_member_index,winning_member_source,winning_members_encoded,representative_sem_k,assumes,method,oracle,exact,radius_timed_out,r_val,max_abs_bias_check,front_utility
synthetic,,c06_s01_cov100_seed1450336244,6,1,1450336244,X,Y,c06_s01_cov100_seed1450336244__p0002_k01,1,conservative,0,C00->X,fast_gate,ok,6,4,20,20,1.0406075858292967,0.8473855228535273,1.099755671367016,2,O_plus_v0,C00;C03;W,16,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",local_up_fast,mpdag_criterion,True,False,1,8.881784197001252e-16,False
synthetic,,c06_s01_cov100_seed1450336244,6,1,1450336244,X,Y,c06_s01_cov100_seed1450336244__p0003_k01,1,conservative,0,X->C02,fast_gate,no_menu_member_valid,6,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed1450336244,6,1,1450336244,X,Y,c06_s01_cov100_seed1450336244__p0004_k01,1,conservative,0,X->C05,fast_gate,no_menu_member_valid,6,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed1450336244,6,1,1450336244,X,Y,c06_s01_cov100_seed1450336244__p0005_k02,2,conservative,0,C00->C03;C00->C04,fast_gate,no_menu_member_valid,6,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed1450336244,6,1,1450336244,X,Y,c06_s01_cov100_seed1450336244__p0006_k02,2,conservative,0,C00->C03;C00->X,fast_gate,ok,6,4,20,20,1.0406075858292967,0.8473855228535273,1.099755671367016,2,O_plus_v0,C00;C03;W,16,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",local_up_fast,mpdag_criterion,True,False,1,8.881784197001252e-16,False
synthetic,,c06_s01_cov100_seed1450336244,6,1,1450336244,X,Y,c06_s01_cov100_seed1450336244__p0007_k02,2,conservative,0,C00->C03;X->C02,fast_gate,no_menu_member_valid,6,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed1450336244,6,1,1450336244,X,Y,c06_s01_cov100_seed1450336244__p0008_k02,2,conservative,0,C00->C03;X->C05,fast_gate,no_menu_member_valid,6,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed1450336244,6,1,1450336244,X,Y,c06_s01_cov100_seed1450336244__p0009_k02,2,conservative,0,C00->C04;C00->X,fast_gate,ok,6,4,20,20,1.0406075858292967,0.8473855228535273,1.099755671367016,2,O_plus_v0,C00;C03;W,16,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",local_up_fast,mpdag_criterion,True,False,1,8.881784197001252e-16,False
synthetic,,c06_s01_cov100_seed1450336244,6,1,1450336244,X,Y,c06_s01_cov100_seed1450336244__p0010_k02,2,conservative,0,C00->C04;X->C02,fast_gate,no_menu_member_valid,6,0,0,20,,,,,,,,,,,,,,,False
synthetic,,c06_s01_cov100_seed1450336244,6,1,1450336244,X,Y,c06_s01_cov100_seed1450336244__p0011_k02,2,conservative,0,C00->C04;X->C05,fast_gate,no_menu_member_valid,6,0,0,20,,,,,,,,,,,,,,,False
