instance_id,arm,gate,component_size,separation,n_tiers,bin,n_samples,n_contradictory,n_noncontra,contradiction_rate,S,S_contra_as_fail
c10_s01_cov100_seed00000023_xarm_nt3,flip,fast_gate,10,1,3,0.45,200,135,65,0.675,0.8769230769230769,0.285
c10_s01_cov100_seed00000023_xarm_nt3,flip,fast_gate,10,1,3,0.65,200,199,1,0.995,1.0,0.005
c10_s01_cov100_seed00000023_xarm_nt3,flip,fast_gate,10,1,3,unresolved_all_contradictory,1200,1200,0,1.0,,0.0
c10_s01_cov100_seed00000024_xarm_nt3,tiered,fast_gate,10,1,3,0.0,400,103,297,0.2575,0.9663299663299664,0.7175
c10_s01_cov100_seed00000024_xarm_nt3,tiered,fast_gate,10,1,3,0.05,400,180,220,0.45,0.9363636363636364,0.515
c10_s01_cov100_seed00000024_xarm_nt3,tiered,fast_gate,10,1,3,0.15,600,387,213,0.645,0.8028169014084507,0.285
c10_s01_cov100_seed00000024_xarm_nt3,tiered,fast_gate,10,1,3,0.25,400,334,66,0.835,0.7424242424242424,0.1225
c10_s01_cov100_seed00000024_xarm_nt3,tiered,fast_gate,10,1,3,0.3,200,172,28,0.86,0.5714285714285714,0.08
c10_s01_cov100_seed00000024_xarm_nt3,flip,fast_gate,10,1,3,0.35,200,26,174,0.13,0.7873563218390804,0.685
c10_s01_cov100_seed00000024_xarm_nt3,flip,fast_gate,10,1,3,0.5,200,149,51,0.745,0.9019607843137255,0.23
c10_s01_cov100_seed00000024_xarm_nt3,flip,fast_gate,10,1,3,0.7,200,192,8,0.96,1.0,0.04
c10_s01_cov100_seed00000024_xarm_nt3,flip,fast_gate,10,1,3,unresolved_all_contradictory,800,800,0,1.0,,0.0
c10_s01_cov100_seed00000030_xarm_nt3,tiered,fast_gate,10,1,3,0.0,400,91,309,0.2275,0.948220064724919,0.7325
c10_s01_cov100_seed00000030_xarm_nt3,tiered,fast_gate,10,1,3,0.15,600,220,380,0.36666666666666664,0.8868421052631579,0.5616666666666666
c10_s01_cov100_seed00000030_xarm_nt3,tiered,fast_gate,10,1,3,0.2,400,268,132,0.67,0.7651515151515151,0.2525
c10_s01_cov100_seed00000030_xarm_nt3,tiered,fast_gate,10,1,3,0.3,400,294,106,0.735,0.7169811320754716,0.19
c10_s01_cov100_seed00000030_xarm_nt3,tiered,fast_gate,10,1,3,0.35,200,157,43,0.785,0.5813953488372093,0.125
c10_s01_cov100_seed00000030_xarm_nt3,flip,fast_gate,10,1,3,0.3,200,64,136,0.32,0.8676470588235294,0.59
c10_s01_cov100_seed00000030_xarm_nt3,flip,fast_gate,10,1,3,0.45,200,142,58,0.71,0.7931034482758621,0.23
c10_s01_cov100_seed00000030_xarm_nt3,flip,fast_gate,10,1,3,0.6,200,168,32,0.84,0.75,0.12
c10_s01_cov100_seed00000030_xarm_nt3,flip,fast_gate,10,1,3,0.75,200,186,14,0.93,0.7142857142857143,0.05
c10_s01_cov100_seed00000030_xarm_nt3,flip,fast_gate,10,1,3,0.9,200,196,4,0.98,0.25,0.005
c10_s01_cov100_seed00000030_xarm_nt3,flip,fast_gate,10,1,3,unresolved_all_contradictory,1000,1000,0,1.0,,0.0
c10_s01_cov100_seed00000035_xarm_nt3,tiered,fast_gate,10,1,3,0.0,400,136,264,0.34,0.9583333333333334,0.6325
c10_s01_cov100_seed00000035_xarm_nt3,tiered,fast_gate,10,1,3,0.05,600,363,237,0.605,0.8481012658227848,0.335
c10_s01_cov100_seed00000035_xarm_nt3,tiered,fast_gate,10,1,3,0.15,400,305,95,0.7625,0.6842105263157895,0.1625
c10_s01_cov100_seed00000035_xarm_nt3,tiered,fast_gate,10,1,3,0.25,600,509,91,0.8483333333333334,0.6153846153846154,0.09333333333333334
c10_s01_cov100_seed00000035_xarm_nt3,flip,fast_gate,10,1,3,0.35,200,38,162,0.19,0.808641975308642,0.655
c10_s01_cov100_seed00000035_xarm_nt3,flip,fast_gate,10,1,3,0.5,200,142,58,0.71,0.6206896551724138,0.18
c10_s01_cov100_seed00000035_xarm_nt3,flip,fast_gate,10,1,3,0.7,200,192,8,0.96,0.0,0.0
c10_s01_cov100_seed00000035_xarm_nt3,flip,fast_gate,10,1,3,unresolved_all_contradictory,600,600,0,1.0,,0.0
c10_s01_cov100_seed00000036_xarm_nt3,tiered,fast_gate,10,1,3,0.0,400,112,288,0.28,0.9201388888888888,0.6625
c10_s01_cov100_seed00000036_xarm_nt3,tiered,fast_gate,10,1,3,0.05,600,321,279,0.535,0.8494623655913979,0.395
c10_s01_cov100_seed00000036_xarm_nt3,tiered,fast_gate,10,1,3,0.15,400,319,81,0.7975,0.6172839506172839,0.125
c10_s01_cov100_seed00000036_xarm_nt3,tiered,fast_gate,10,1,3,0.25,600,508,92,0.8466666666666667,0.7065217391304348,0.10833333333333334
c10_s01_cov100_seed00000036_xarm_nt3,flip,fast_gate,10,1,3,0.35,200,70,130,0.35,0.8076923076923077,0.525
c10_s01_cov100_seed00000036_xarm_nt3,flip,fast_gate,10,1,3,0.5,200,154,46,0.77,0.6739130434782609,0.155
c10_s01_cov100_seed00000036_xarm_nt3,flip,fast_gate,10,1,3,0.7,200,187,13,0.935,0.23076923076923078,0.015
c10_s01_cov100_seed00000036_xarm_nt3,flip,fast_gate,10,1,3,unresolved_all_contradictory,1000,1000,0,1.0,,0.0
c10_s01_cov100_seed00000037_xarm_nt3,tiered,fast_gate,10,1,3,0.05,400,159,241,0.3975,0.91701244813278,0.5525
c10_s01_cov100_seed00000037_xarm_nt3,tiered,fast_gate,10,1,3,0.15,400,237,163,0.5925,0.8466257668711656,0.345
c10_s01_cov100_seed00000037_xarm_nt3,tiered,fast_gate,10,1,3,0.2,600,500,100,0.8333333333333334,0.78,0.13
c10_s01_cov100_seed00000037_xarm_nt3,tiered,fast_gate,10,1,3,0.3,400,357,43,0.8925,0.7906976744186046,0.085
c10_s01_cov100_seed00000037_xarm_nt3,tiered,fast_gate,10,1,3,0.45,200,189,11,0.945,0.7272727272727273,0.04
c10_s01_cov100_seed00000037_xarm_nt3,flip,fast_gate,10,1,3,0.3,200,87,113,0.435,0.6460176991150443,0.365
c10_s01_cov100_seed00000037_xarm_nt3,flip,fast_gate,10,1,3,0.45,200,155,45,0.775,0.5555555555555556,0.125
c10_s01_cov100_seed00000037_xarm_nt3,flip,fast_gate,10,1,3,0.6,200,166,34,0.83,1.0,0.17
c10_s01_cov100_seed00000037_xarm_nt3,flip,fast_gate,10,1,3,1.0,200,168,32,0.84,1.0,0.16
c10_s01_cov100_seed00000037_xarm_nt3,flip,fast_gate,10,1,3,unresolved_all_contradictory,200,200,0,1.0,,0.0
c10_s01_cov100_seed00000040_xarm_nt3,tiered,fast_gate,10,1,3,0.05,600,250,350,0.4166666666666667,0.9371428571428572,0.5466666666666666
c10_s01_cov100_seed00000040_xarm_nt3,tiered,fast_gate,10,1,3,0.15,400,269,131,0.6725,0.7862595419847328,0.2575
c10_s01_cov100_seed00000040_xarm_nt3,tiered,fast_gate,10,1,3,0.25,800,682,118,0.8525,0.6610169491525424,0.0975
c10_s01_cov100_seed00000040_xarm_nt3,tiered,fast_gate,10,1,3,0.3,200,187,13,0.935,0.6153846153846154,0.04
c10_s01_cov100_seed00000040_xarm_nt3,flip,fast_gate,10,1,3,0.15,200,79,121,0.395,0.7851239669421488,0.475
c10_s01_cov100_seed00000040_xarm_nt3,flip,fast_gate,10,1,3,0.55,200,133,67,0.665,0.417910447761194,0.14
c10_s01_cov100_seed00000040_xarm_nt3,flip,fast_gate,10,1,3,0.65,200,177,23,0.885,0.5652173913043478,0.065
c10_s01_cov100_seed00000040_xarm_nt3,flip,fast_gate,10,1,3,unresolved_all_contradictory,800,800,0,1.0,,0.0
c10_s01_cov100_seed00000044_xarm_nt3,tiered,fast_gate,10,1,3,0.0,200,46,154,0.23,0.948051948051948,0.73
c10_s01_cov100_seed00000044_xarm_nt3,tiered,fast_gate,10,1,3,0.05,600,211,389,0.3516666666666667,0.9125964010282777,0.5916666666666667
c10_s01_cov100_seed00000044_xarm_nt3,tiered,fast_gate,10,1,3,0.15,200,118,82,0.59,0.8292682926829268,0.34
c10_s01_cov100_seed00000044_xarm_nt3,tiered,fast_gate,10,1,3,0.25,600,433,167,0.7216666666666667,0.7964071856287425,0.22166666666666668
c10_s01_cov100_seed00000044_xarm_nt3,tiered,fast_gate,10,1,3,0.3,400,335,65,0.8375,0.6923076923076923,0.1125
c10_s01_cov100_seed00000044_xarm_nt3,flip,fast_gate,10,1,3,0.3,200,86,114,0.43,0.8070175438596491,0.46
