arm,base_wrongness,component_size,coverage,n_tiers,predictor,endpoint,is_primary,is_sensitivity,is_secondary,stratum_n_instances,n,n_excluded_unreached,n_excluded_nan,predictor_constant,underpowered,status,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan,r_assumes
flip,0.0,10,1.0,,n_k,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.3931191322136222,0.00013604900063225338,-0.5908557352185253,-0.1935359603300878,0,
flip,0.0,10,1.0,,n_k,AUC_frac_usable,False,True,False,60,56,0,4,False,False,ok,0.37424706584612605,0.0006012804931724544,0.14570420102546572,0.5837705569690989,0,
flip,0.0,10,1.0,,r_val,AUC_frac,True,False,False,60,60,0,0,False,False,ok,0.5202617138124874,8.453823330567874e-07,0.34738568036689144,0.6898735289188651,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.0,10,1.0,,r_val,AUC_frac_usable,False,True,False,60,56,0,4,False,False,ok,-0.30838857837031053,0.0060325723229732375,-0.5199387956278433,-0.05534892405434044,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.0,10,1.0,,shd_cpdag,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.3931191322136222,0.00013604900063225338,-0.5908557352185253,-0.1935359603300878,0,
flip,0.0,10,1.0,,shd_cpdag,AUC_frac_usable,False,True,False,60,56,0,4,False,False,ok,0.37424706584612605,0.0006012804931724544,0.14570420102546572,0.5837705569690989,0,
flip,0.0,10,1.0,,shd_truth,AUC_frac,True,False,False,60,60,0,0,True,False,undefined (predictor constant),,,,,0,
flip,0.0,10,1.0,,shd_truth,AUC_frac_usable,False,True,False,60,56,0,4,True,False,undefined (predictor constant),,,,,0,
flip,0.0,10,1.0,,undirected_fraction,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.3931191322136222,0.00013604900063225338,-0.5908557352185253,-0.1935359603300878,0,
flip,0.0,10,1.0,,undirected_fraction,AUC_frac_usable,False,True,False,60,56,0,4,False,False,ok,0.37424706584612605,0.0006012804931724544,0.14570420102546572,0.5837705569690989,0,
flip,0.0,12,0.5,,n_k,AUC_abs,False,False,True,60,60,0,0,False,False,ok,-0.42749682857147564,0.00024189496205421316,-0.6800950828261468,-0.1530491995501843,0,
flip,0.0,12,0.5,,n_k,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.4988942116946686,1.696680681699348e-05,-0.7263000528229285,-0.2554419686102909,0,
flip,0.0,12,0.5,,n_k,AUC_frac_usable,False,True,False,60,59,0,1,False,False,ok,-0.24057648676869975,0.034982712852580984,-0.46843278896145524,-0.0037750185996489943,0,
flip,0.0,12,0.5,,r_val,AUC_frac,True,False,False,60,60,0,0,False,False,ok,0.6797237434319858,1.1938203646636227e-08,0.4226218834419458,0.8901661894751862,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.0,12,0.5,,r_val,AUC_frac_usable,False,True,False,60,59,0,1,False,False,ok,0.4898188005594902,2.8791878256236077e-05,0.29113656774399416,0.6836437797435001,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.0,12,0.5,,shd_cpdag,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.4437237533529899,4.3746818139269234e-05,-0.6160787949338373,-0.23877955113768617,0,
flip,0.0,12,0.5,,shd_cpdag,AUC_frac_usable,False,True,False,60,59,0,1,False,False,ok,-0.2723772832680697,0.010875125449820937,-0.4703833545975459,-0.06939212706985926,0,
flip,0.0,12,0.5,,shd_truth,AUC_frac,True,False,False,60,60,0,0,False,False,ok,0.28290310153018394,0.00817735852110165,0.07570499562458363,0.4843949356148627,0,
flip,0.0,12,0.5,,shd_truth,AUC_frac_usable,False,True,False,60,59,0,1,False,False,ok,0.1725410577863861,0.1006825526318454,-0.041605051171661675,0.3723108747010181,0,
flip,0.0,12,0.5,,undirected_fraction,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.45846697806469705,2.282190543661382e-05,-0.6124294863932827,-0.2833430339081307,0,
flip,0.0,12,0.5,,undirected_fraction,AUC_frac_usable,False,True,False,60,59,0,1,False,False,ok,-0.2319970441334246,0.029358802937340493,-0.4369112320051328,-0.021014604127173132,0,
flip,0.0,12,1.0,,n_k,AUC_abs,False,False,True,60,60,0,0,False,False,ok,-0.4578310971417846,5.46347813055953e-06,-0.5892026386379177,-0.3122570381026973,0,
flip,0.0,12,1.0,,n_k,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.23319906008617994,0.022912089003459944,-0.43039935834179277,-0.041835857324644087,0,
flip,0.0,12,1.0,,n_k,AUC_frac_usable,False,True,False,60,55,0,5,False,False,ok,0.4775726516771477,1.3048987576245854e-05,0.2619872715899687,0.67800015137517,0,
flip,0.0,12,1.0,,r_val,AUC_frac,True,False,False,60,60,0,0,False,False,ok,0.4366180654461945,4.1227099157065104e-05,0.2366401536290185,0.6258663625026875,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.0,12,1.0,,r_val,AUC_frac_usable,False,True,False,60,55,0,5,False,False,ok,-0.3666793988112846,0.0013215030690034045,-0.5769220157098367,-0.11738063878042203,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.0,12,1.0,,shd_cpdag,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.23319906008617994,0.022912089003459944,-0.43039935834179277,-0.041835857324644087,0,
flip,0.0,12,1.0,,shd_cpdag,AUC_frac_usable,False,True,False,60,55,0,5,False,False,ok,0.4775726516771477,1.3048987576245854e-05,0.2619872715899687,0.67800015137517,0,
flip,0.0,12,1.0,,shd_truth,AUC_frac,True,False,False,60,60,0,0,True,False,undefined (predictor constant),,,,,0,
flip,0.0,12,1.0,,shd_truth,AUC_frac_usable,False,True,False,60,55,0,5,True,False,undefined (predictor constant),,,,,0,
flip,0.0,12,1.0,,undirected_fraction,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.23319906008617994,0.022912089003459944,-0.43039935834179277,-0.041835857324644087,0,
flip,0.0,12,1.0,,undirected_fraction,AUC_frac_usable,False,True,False,60,55,0,5,False,False,ok,0.4775726516771477,1.3048987576245854e-05,0.2619872715899687,0.67800015137517,0,
flip,0.1,6,0.5,,n_k,AUC_abs,False,False,True,60,60,0,0,False,False,ok,0.25480495929804947,0.02381656987016628,-0.0034718659078160257,0.5033020525594153,0,
flip,0.1,6,0.5,,n_k,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.10518669478969692,0.35065168513466793,-0.36777055690788274,0.18952373724032842,0,
flip,0.1,6,0.5,,n_k,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,-0.10518669478969692,0.35065168513466793,-0.36777055690788274,0.18952373724032842,0,
flip,0.1,6,0.5,,r_val,AUC_frac,True,False,False,60,60,0,0,False,False,ok,0.8077858827932594,3.494681893114822e-13,0.6314320780920539,0.9486832980505138,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.1,6,0.5,,r_val,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,0.8077858827932594,3.494681893114822e-13,0.6314320780920539,0.9486832980505138,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.1,6,0.5,,shd_cpdag,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.2795925925643566,0.009949433921841958,-0.5117285377686771,-0.022996497738427588,0,
flip,0.1,6,0.5,,shd_cpdag,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,-0.2795925925643566,0.009949433921841958,-0.5117285377686771,-0.022996497738427588,0,
flip,0.1,6,0.5,,shd_truth,AUC_frac,True,False,False,60,60,0,0,False,False,ok,0.20078847887144863,0.06233340498263068,-0.027967529566345697,0.4059328622068933,0,
flip,0.1,6,0.5,,shd_truth,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,0.20078847887144863,0.06233340498263068,-0.027967529566345697,0.4059328622068933,0,
flip,0.1,6,0.5,,undirected_fraction,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.10518669478969692,0.35065168513466793,-0.36777055690788274,0.18952373724032842,0,
flip,0.1,6,0.5,,undirected_fraction,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,-0.10518669478969692,0.35065168513466793,-0.36777055690788274,0.18952373724032842,0,
flip,0.1,6,1.0,,n_k,AUC_abs,False,False,True,60,60,0,0,False,False,ok,-0.206280042831055,0.05659182241499872,-0.4276534041185785,0.021864435583709364,0,
flip,0.1,6,1.0,,n_k,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.31247548182227447,0.004080347935786698,-0.5202858719314135,-0.0872078853805195,0,
flip,0.1,6,1.0,,n_k,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,-0.3724314932700298,0.0005656023968965229,-0.5461182331964385,-0.18853664061143893,0,
flip,0.1,6,1.0,,r_val,AUC_frac,True,False,False,60,60,0,0,False,False,ok,0.6249842461754013,8.976211349054087e-10,0.4093811426240389,0.8251192045948172,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.1,6,1.0,,r_val,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,0.5859705686290478,7.238512686999042e-09,0.4386828402686574,0.7276209371478641,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.1,6,1.0,,shd_cpdag,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.31247548182227447,0.004080347935786698,-0.5202858719314135,-0.0872078853805195,0,
flip,0.1,6,1.0,,shd_cpdag,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,-0.3724314932700298,0.0005656023968965229,-0.5461182331964385,-0.18853664061143893,0,
flip,0.1,6,1.0,,shd_truth,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.30422839643330046,0.0069516495891263205,-0.5229158612334088,-0.07036538868573694,0,
flip,0.1,6,1.0,,shd_truth,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,-0.3837136633027152,0.0006058602378222836,-0.5611114380814913,-0.19257481746073854,0,
flip,0.1,6,1.0,,undirected_fraction,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.31247548182227447,0.004080347935786698,-0.5202858719314135,-0.0872078853805195,0,
flip,0.1,6,1.0,,undirected_fraction,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,-0.3724314932700298,0.0005656023968965229,-0.5461182331964385,-0.18853664061143893,0,
flip,0.1,8,0.5,,n_k,AUC_abs,False,False,True,60,60,0,0,False,False,ok,-0.05586543029229121,0.6387304291878979,-0.32986925561360614,0.2938981139372838,164,
flip,0.1,8,0.5,,n_k,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.06827997035724483,0.5661015914928962,-0.3440603833493039,0.2626315455462932,164,
flip,0.1,8,0.5,,n_k,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,-0.25035989130989766,0.03538352673284143,-0.44821044109177544,-0.10219780398812742,164,
flip,0.1,8,0.5,,r_val,AUC_frac,True,False,False,60,60,0,0,False,False,ok,0.5290400570128865,9.93668499132296e-06,0.18144554586271294,0.8127425537743156,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.1,8,0.5,,r_val,AUC_frac_usable,False,True,False,60,60,0,0,False,False,ok,0.6128047327065935,3.085474523775909e-07,0.3055034556553417,0.8915907875785154,0,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)"
flip,0.1,8,0.5,,shd_cpdag,AUC_frac,True,False,False,60,60,0,0,False,False,ok,-0.39231268575740535,0.00038689213240683903,-0.5684075625632027,-0.1762423827790007,0,
