origin,base_id,network,treatment,outcome,menu_index,source,members,size
synthetic,c08_s05_cov100_seed1705891827,,X,Y,0,empty,,0
synthetic,c08_s05_cov100_seed1705891827,,X,Y,1,O_minus_v1,C00,1
synthetic,c08_s05_cov100_seed1705891827,,X,Y,2,an_minus_de,C00;C01;C02;C03;C04;W,6
synthetic,c08_s05_cov100_seed1705891827,,X,Y,3,O_plus_v0,C00;C01;W,3
synthetic,c08_s05_cov100_seed1705891827,,X,Y,4,O_plus_v1,C00;C02;W,3
synthetic,c08_s05_cov100_seed1705891827,,X,Y,5,O_plus_v2,C00;C03;W,3
synthetic,c08_s05_cov100_seed1705891827,,X,Y,6,O_plus_v3,C00;C04;W,3
synthetic,c08_s05_cov100_seed1705891827,,X,Y,7,O_true,C00;W,2
synthetic,c08_s05_cov100_seed1705891827,,X,Y,8,pa_true,C04,1
synthetic,c08_s05_cov100_seed1705891827,,X,Y,9,O_minus_v0,W,1
synthetic,c08_s05_cov100_seed1076453569,,X,Y,0,empty,,0
synthetic,c08_s05_cov100_seed1076453569,,X,Y,1,O_minus_v1,C00,1
synthetic,c08_s05_cov100_seed1076453569,,X,Y,2,an_minus_de,C00;C01;C02;C03;C04;W,6
synthetic,c08_s05_cov100_seed1076453569,,X,Y,3,O_plus_v0,C00;C01;W,3
synthetic,c08_s05_cov100_seed1076453569,,X,Y,4,O_plus_v1,C00;C02;W,3
synthetic,c08_s05_cov100_seed1076453569,,X,Y,5,O_plus_v2,C00;C03;W,3
synthetic,c08_s05_cov100_seed1076453569,,X,Y,6,O_plus_v3,C00;C04;W,3
synthetic,c08_s05_cov100_seed1076453569,,X,Y,7,O_true,C00;W,2
synthetic,c08_s05_cov100_seed1076453569,,X,Y,8,pa_true,C04,1
synthetic,c08_s05_cov100_seed1076453569,,X,Y,9,O_minus_v0,W,1
synthetic,c08_s07_cov100_seed1131793155,,X,Y,0,empty,,0
synthetic,c08_s07_cov100_seed1131793155,,X,Y,1,O_minus_v1,C00,1
synthetic,c08_s07_cov100_seed1131793155,,X,Y,2,an_minus_de,C00;C01;C02;C03;C04;C05;C06;W,8
synthetic,c08_s07_cov100_seed1131793155,,X,Y,3,O_plus_v0,C00;C01;W,3
synthetic,c08_s07_cov100_seed1131793155,,X,Y,4,O_plus_v1,C00;C02;W,3
synthetic,c08_s07_cov100_seed1131793155,,X,Y,5,O_plus_v2,C00;C03;W,3
synthetic,c08_s07_cov100_seed1131793155,,X,Y,6,O_plus_v3,C00;C04;W,3
synthetic,c08_s07_cov100_seed1131793155,,X,Y,7,O_true,C00;W,2
synthetic,c08_s07_cov100_seed1131793155,,X,Y,8,pa_true,C06,1
synthetic,c08_s07_cov100_seed1131793155,,X,Y,9,O_minus_v0,W,1
synthetic,c08_s07_cov100_seed2054962599,,X,Y,0,empty,,0
synthetic,c08_s07_cov100_seed2054962599,,X,Y,1,O_minus_v1,C00,1
synthetic,c08_s07_cov100_seed2054962599,,X,Y,2,an_minus_de,C00;C01;C02;C03;C04;C05;C06;W,8
synthetic,c08_s07_cov100_seed2054962599,,X,Y,3,O_plus_v0,C00;C01;W,3
synthetic,c08_s07_cov100_seed2054962599,,X,Y,4,O_plus_v1,C00;C02;W,3
synthetic,c08_s07_cov100_seed2054962599,,X,Y,5,O_plus_v2,C00;C03;W,3
synthetic,c08_s07_cov100_seed2054962599,,X,Y,6,O_plus_v3,C00;C04;W,3
