base_id,component_size,separation,proposal_id,proposal_size,sem_k,z_agree,z_agree_defined,avar_agree,z_hpm,z_hpm_defined,z_hpm_gac_valid,avar_hpm
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0008_k02,2,3,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0008_k02,2,4,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0008_k02,2,5,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0008_k02,2,6,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0008_k02,2,7,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0009_k02,2,0,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0009_k02,2,1,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0009_k02,2,2,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0009_k02,2,3,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0009_k02,2,4,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0009_k02,2,5,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0009_k02,2,6,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0009_k02,2,7,,0,,,0,0,
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0010_k02,2,0,C00|W,1,0.663258190046307,W,1,0,0.9685604541644974
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0010_k02,2,1,C00|W,1,0.9642180321266965,W,1,0,0.9416041876264686
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0010_k02,2,2,C00|W,1,0.9807242813422488,W,1,0,0.4525308560911589
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0010_k02,2,3,C00|W,1,2.242826928811835,W,1,0,0.5175589586583266
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0010_k02,2,4,C00|W,1,2.1518986702478955,W,1,0,1.8385304453236935
c06_s01_cov100_seed152819226,6,1,c06_s01_cov100_seed152819226__p0010_k02,2,5,C00|W,1,0.6190899386719987,W,1,0,0.5414437690805597
