n,edge_prob,seed,x,y,z_size,k_undirected,k_g0,largest_component,space_build_s,space_bfs_query_enum_s,space_bfs_query_crit_s,space_censored,space_error,space_total_crit_s,space_total_enum_s,search_frozen_s,search_frozen_censored,search_frozen_error,search_fast_s,search_fast_censored,search_fast_error,hybrid_total_s,hybrid_censored,hybrid_error,radius_agree,speedup_space_vs_search,speedup_space_vs_search_lb,speedup_search_vs_hybrid,speedup_search_vs_hybrid_lb,speedup_e2e,speedup_e2e_lb,speedup_space_vs_search_enum,speedup_search_vs_hybrid_enum,speedup_e2e_enum
10,0.5,0,V0,V8,5,2,2,3,0.0004945839991705725,8.98750004125759e-05,0.00012729099944408517,False,False,0.0006218749986146577,0.0005844589995831484,0.00038824999955977546,False,False,0.0001454579996789107,False,False,0.00014145900058792904,False,False,True,4.275289086797613,,1.0282696687687678,,4.396150093172109,,1.5053676761000598,2.7446114983573944,4.131649433079774
10,0.5,1,V0,V2,2,2,2,3,0.00048137500016309787,6.766699971194612e-05,0.0001278749996345141,False,False,0.000609249999797612,0.000549041999875044,0.0003180410003551515,False,False,0.00014350000037666177,False,False,0.00014354199993249495,False,False,True,4.2456445867487105,,0.9997074058055975,,4.244402335791131,,1.7263245910493843,2.2156651050195766,3.8249571563253117
10,0.5,2,V0,V1,3,6,6,6,0.09419220800009498,0.0001854169995567645,0.0005752919996666606,False,False,0.09476749999976164,0.09437762499965174,0.0005146660005266313,False,False,0.0002818749999278225,False,False,0.0002809169991451199,False,False,True,336.20399121606386,,1.0034102627666461,,337.35053516930583,,183.37645172418613,1.8320927608256206,335.9626697097703
10,0.5,3,V0,V1,2,5,5,4,0.03849366699978418,0.00013487500018527498,0.00045987500016053673,False,False,0.03895354199994472,0.03862854199996946,0.00048725000033300603,False,False,0.0002712499999688589,False,False,0.0002458750004734611,False,False,True,143.60752812688227,,1.1032028447240885,,158.42823355337106,,79.27869055632463,1.9816980148235854,157.10642369328184
10,0.5,4,V0,V2,1,3,3,3,0.0022411669997381978,0.0003812499999185093,0.00040824999996402767,False,False,0.0026494169997022254,0.002622416999656707,0.001893833999929484,False,False,0.0005016659997636452,False,False,0.016554332999476173,False,False,True,5.281236920481896,,0.030304210974825708,,0.1600437178463222,,1.3847132323922537,0.11440110574007484,0.15841272491858704
10,0.5,5,V0,V5,3,5,5,5,0.028273500000068452,0.003103666999777488,0.0024134579998644767,False,False,0.03068695799993293,0.03137716699984594,0.010446166999827255,False,False,0.0017460830003983574,False,False,0.04537716699906014,False,False,True,17.57474186102946,,0.03847933037411795,,0.6762642983103931,,3.003701453400545,0.23020756231969305,0.6914747895234586
10,0.5,6,V0,V1,4,6,6,5,0.1042244579994076,0.00017154099987237714,0.0006133340002634213,False,False,0.10483779199967103,0.10439599899927998,0.0010438749995955732,False,False,0.0005010830000173883,False,False,0.000511207999807084,False,False,True,209.222408255784,,0.9801939723292347,,205.07854344852578,,100.00814181748386,2.0419770425922583,204.21432966361286
10,0.5,7,V0,V4,2,3,3,2,0.00278929199976119,4.158400042797439e-05,0.0001610409999557305,False,False,0.0029503329997169203,0.002830876000189164,0.00032229099997493904,False,False,0.00014800000008108327,False,False,0.0001519170000392478,False,False,True,19.934682419598317,,0.9742161841192719,,19.420690238450607,,8.783602397861838,2.1214939729699447,18.634359548028243
10,0.7,0,V0,V8,7,3,3,3,0.0029927499999757856,0.0014694170004077023,0.0004493329997785622,False,False,0.003442082999754348,0.004462167000383488,0.0026289170000382,False,False,0.0005187500000829459,False,False,0.05558295900027588,False,False,True,6.635340721357057,,0.009332896438283741,,0.06192694778515234,,1.6973403878169793,0.04729717610077491,0.08027940722553725
10,0.7,1,V0,V1,2,1,1,2,0.00020433400004549185,6.662499981757719e-05,9.304200011683861e-05,False,False,0.00029737600016233046,0.00027095899986306904,0.0002799580006467295,False,False,0.0001405000002705492,False,False,0.0001455409992558998,False,False,True,2.116555157222051,,0.9653637187382011,,2.043245557490397,,0.9678558899446634,1.923567943590169,1.8617365639124892
