stratum,arm,predictor_a,predictor_b,endpoint,status,stratum_n,n,n_excluded,n_clusters,tau_a_point,tau_b_point,delta_point,ci_lo_2p5,ci_hi_97p5,frac_delta_gt_0,n_boot,n_boot_valid,n_boot_nan,seed,loo_delta_min,loo_delta_max,loo_cluster_at_min,loo_cluster_at_max,loo_n_clusters_with_delta,loo_verdict_flips,scope_note
flip_cov100_bw000,flip,radius,phi_1,AUC_frac_usable,ok,543,540,3,24,0.06377025915559671,-0.4274233184528219,0.4911935776084186,0.16776375547187686,0.8579958567648063,0.9996,10000,10000,0,0,0.3317032807057381,0.5826794513390872,insurance,barley,24,False,
flip_cov100_bw000,flip,radius,r_claim,AUC_frac_usable,undefined (predictor or endpoint constant on matched sample),543,540,3,24,0.06377025915559671,,,,,,10000,0,0,0,,,,,0,,
flip_cov100_bw010,flip,radius,shd_truth,AUC_frac_usable,ok,1629,1579,50,24,0.12632490904524413,0.25982410200025896,-0.13349919295501483,-0.7904765285253216,0.34245220015810385,0.3202,10000,10000,0,0,-0.47636406220956085,0.012507419549735138,insurance,paths,24,True,
flip_cov100_bw010,flip,radius,n_k,AUC_frac_usable,ok,1629,1579,50,24,0.12632490904524413,0.32056784756107964,-0.19424293851583552,-0.8631493913840932,0.2752986449944842,0.2339,10000,10000,0,0,-0.5110857864691587,-0.024380892345716526,insurance,paths,24,False,
flip_cov100_bw010,flip,radius,k_g0,AUC_frac_usable,ok,1629,1579,50,24,0.12632490904524413,0.16274831579279087,-0.03642340674754674,-0.5483168512721084,0.2719502267051765,0.4556,10000,10000,0,0,-0.21301678420666836,0.059898846483271914,insurance,diabetes,24,True,
flip_cov100_bw010,flip,radius,separation,AUC_frac_usable,ok,1629,879,750,20,0.16796118916666647,0.06470269395138953,0.10325849521527694,-0.08796757014720928,0.22195513959550311,0.8421,10000,10000,0,0,0.01487390938928268,0.13809130990078408,insurance,paths,20,False,
flip_cov100_bw010,flip,radius,phi_1,AUC_frac_usable,insufficient_n,1629,0,1629,0,,,,,,,10000,0,0,0,,,,,0,,"phi_1 is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry phi_1=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov100_bw010,flip,radius,r_claim,AUC_frac_usable,insufficient_n,1629,0,1629,0,,,,,,,10000,0,0,0,,,,,0,,"r_claim is only defined where the unit's operative K is the frame's own K (flip arm, base_wrongness=0.0); this stratum's units carry r_claim=None throughout, so this row is expected to read insufficient_n / n=0, not a genuine null finding."
flip_cov100_bw025,flip,radius,shd_truth,AUC_frac_usable,ok,1629,1386,243,23,0.2922494086052659,0.21198786251089868,0.0802615460943672,-0.7457528030364103,0.602801324427994,0.5495,10000,10000,0,0,-0.3592366547291816,0.28344091187433557,insurance,paths,23,True,
flip_cov100_bw025,flip,radius,n_k,AUC_frac_usable,ok,1629,1386,243,23,0.2922494086052659,0.2233624552346914,0.06888695337057449,-0.8298591554101036,0.6130559759796478,0.5299,10000,10000,0,0,-0.40273340633910554,0.2764942779459044,insurance,paths,23,True,
flip_cov100_bw025,flip,radius,k_g0,AUC_frac_usable,ok,1629,1386,243,23,0.2922494086052659,0.1632574254212833,0.12899198318398258,-0.4791445259741909,0.4581431263931797,0.7177,10000,10000,0,0,-0.13494197313437484,0.24969213986567795,insurance,paths,23,True,
flip_cov100_bw025,flip,radius,separation,AUC_frac_usable,ok,1629,762,867,19,0.29774268096390133,0.04724471322217983,0.2504979677417215,-0.0518105068283024,0.39335279576295434,0.94,10000,10000,0,0,0.10317864651103366,0.30453012220231357,insurance,paths,19,False,
