stratum,arm,predictor,endpoint,status,n,n_networks,stratum_n_units,n_excluded_unreached,n_excluded_nan,tau_b,p_value,ci_lo_2p5,ci_hi_97p5,n_boot_nan,loo_tau_min,loo_tau_max,loo_network_at_min,loo_network_at_max,loo_verdict_flips
flip_cov025_bwa1,flip,separation,AUC_frac_usable,ok,35,2,318,0,283,-0.10058358144442507,0.518583233585023,-0.10058358144442507,-0.07207690737510847,2449,-0.07207690737510847,-0.07207690737510847,win95pts,win95pts,False
flip_cov025_bwa1,flip,phi_1,AUC_frac,insufficient_n,0,0,318,0,318,,,,,,,,,,
flip_cov025_bwa1,flip,phi_1,AUC_frac_usable,insufficient_n,0,0,318,0,318,,,,,,,,,,
flip_cov025_bwa1,flip,r_claim,AUC_frac,insufficient_n,0,0,318,0,318,,,,,,,,,,
flip_cov025_bwa1,flip,r_claim,AUC_frac_usable,insufficient_n,0,0,318,0,318,,,,,,,,,,
flip_cov050_bw000,flip,radius,AUC_frac,ok,182,17,182,0,0,0.19074657597977682,0.0027083882523887817,-0.4411155861684999,0.6455255244588036,0,-0.12816722553809295,0.380865922432661,insurance,child,True
flip_cov050_bw000,flip,radius,AUC_frac_usable,ok,182,17,182,0,0,0.19074657597977682,0.0027083882523887817,-0.4411155861684999,0.6455255244588036,0,-0.12816722553809295,0.380865922432661,insurance,child,True
flip_cov050_bw000,flip,shd_truth,AUC_frac,ok,182,17,182,0,0,0.4255242108263896,1.1376953219188617e-13,-0.09473185171994493,0.7766607175262232,0,0.22746989194828343,0.5511608342278734,insurance,barley,False
flip_cov050_bw000,flip,shd_truth,AUC_frac_usable,ok,182,17,182,0,0,0.4255242108263896,1.1376953219188617e-13,-0.09473185171994493,0.7766607175262232,0,0.22746989194828343,0.5511608342278734,insurance,barley,False
flip_cov050_bw000,flip,n_k,AUC_frac,ok,182,17,182,0,0,0.17908665224018422,0.0027444806318128777,-0.4004309270528255,0.7912528937358783,0,-0.02888644373981807,0.5420184739640618,child,insurance,True
flip_cov050_bw000,flip,n_k,AUC_frac_usable,ok,182,17,182,0,0,0.17908665224018422,0.0027444806318128777,-0.4004309270528255,0.7912528937358783,0,-0.02888644373981807,0.5420184739640618,child,insurance,True
flip_cov050_bw000,flip,k_g0,AUC_frac,ok,182,17,182,0,0,0.2691653334394261,2.6939543145684235e-06,-0.38222800934915,0.723705449225156,0,-0.0370791800549818,0.4397436223835188,insurance,child,True
flip_cov050_bw000,flip,k_g0,AUC_frac_usable,ok,182,17,182,0,0,0.2691653334394261,2.6939543145684235e-06,-0.38222800934915,0.723705449225156,0,-0.0370791800549818,0.4397436223835188,insurance,child,True
flip_cov050_bw000,flip,separation,AUC_frac,ok,97,11,182,0,85,0.19899868412027627,0.026806803579261053,-0.6673873052672189,0.8176851469383826,2,-0.39317115707712813,0.5676727706092485,insurance,child,True
flip_cov050_bw000,flip,separation,AUC_frac_usable,ok,97,11,182,0,85,0.19899868412027627,0.026806803579261053,-0.6673873052672189,0.8176851469383826,2,-0.39317115707712813,0.5676727706092485,insurance,child,True
flip_cov050_bw000,flip,phi_1,AUC_frac,ok,182,17,182,0,0,-0.2015724224722997,0.000733383085170028,-0.8252277193851195,0.35815303709066465,0,-0.5583452151142997,-0.0006931872185848069,insurance,child,False
flip_cov050_bw000,flip,phi_1,AUC_frac_usable,ok,182,17,182,0,0,-0.2015724224722997,0.000733383085170028,-0.8252277193851195,0.35815303709066465,0,-0.5583452151142997,-0.0006931872185848069,insurance,child,False
flip_cov050_bw000,flip,r_claim,AUC_frac,undefined (predictor constant),182,17,182,0,0,,,,,,,,,,
flip_cov050_bw000,flip,r_claim,AUC_frac_usable,undefined (predictor constant),182,17,182,0,0,,,,,,,,,,
flip_cov050_bw010,flip,radius,AUC_frac,ok,546,17,546,0,0,0.13973192068019674,9.504713037895363e-05,-0.44161401740408207,0.5607491340311642,0,-0.18883028941638805,0.31265723116614386,insurance,child,True
flip_cov050_bw010,flip,radius,AUC_frac_usable,ok,546,17,546,0,0,0.13973192068019674,9.504713037895363e-05,-0.44161401740408207,0.5607491340311642,0,-0.18883028941638805,0.31265723116614386,insurance,child,True
flip_cov050_bw010,flip,shd_truth,AUC_frac,ok,546,17,546,0,0,0.4317048874550582,7.512695543286156e-41,-0.06008314173706162,0.7398502060109038,0,0.24428503733550988,0.5493419869765185,insurance,barley,False
flip_cov050_bw010,flip,shd_truth,AUC_frac_usable,ok,546,17,546,0,0,0.4317048874550582,7.512695543286156e-41,-0.06008314173706162,0.7398502060109038,0,0.24428503733550988,0.5493419869765185,insurance,barley,False
flip_cov050_bw010,flip,n_k,AUC_frac,ok,546,17,546,0,0,0.1538256124873136,4.857007536347688e-06,-0.3941042592034816,0.7703989358686721,0,-0.05342344877201445,0.4966322755830382,child,insurance,True
flip_cov050_bw010,flip,n_k,AUC_frac_usable,ok,546,17,546,0,0,0.1538256124873136,4.857007536347688e-06,-0.3941042592034816,0.7703989358686721,0,-0.05342344877201445,0.4966322755830382,child,insurance,True
flip_cov050_bw010,flip,k_g0,AUC_frac,ok,546,17,546,0,0,0.24149494143758563,7.32052142210045e-14,-0.39933006225400675,0.6627839927550737,0,-0.07376079859907711,0.4000491998084738,insurance,child,True
flip_cov050_bw010,flip,k_g0,AUC_frac_usable,ok,546,17,546,0,0,0.24149494143758563,7.32052142210045e-14,-0.39933006225400675,0.6627839927550737,0,-0.07376079859907711,0.4000491998084738,insurance,child,True
flip_cov050_bw010,flip,separation,AUC_frac,ok,291,11,546,0,255,0.1978464197706752,7.391075073146544e-05,-0.6510067140805701,0.7023365985418223,2,-0.39985508555120497,0.5380168914330026,insurance,child,True
flip_cov050_bw010,flip,separation,AUC_frac_usable,ok,291,11,546,0,255,0.1978464197706752,7.391075073146544e-05,-0.6510067140805701,0.7023365985418223,2,-0.39985508555120497,0.5380168914330026,insurance,child,True
flip_cov050_bw010,flip,phi_1,AUC_frac,insufficient_n,0,0,546,0,546,,,,,,,,,,
flip_cov050_bw010,flip,phi_1,AUC_frac_usable,insufficient_n,0,0,546,0,546,,,,,,,,,,
flip_cov050_bw010,flip,r_claim,AUC_frac,insufficient_n,0,0,546,0,546,,,,,,,,,,
flip_cov050_bw010,flip,r_claim,AUC_frac_usable,insufficient_n,0,0,546,0,546,,,,,,,,,,
flip_cov050_bw025,flip,radius,AUC_frac,ok,515,17,546,0,31,0.11169010319610785,0.0025135320668763506,-0.46816236729728256,0.56688070720206,0,-0.25432524624865954,0.2828040381166396,insurance,child,True
