row_id,network,x,y,coverage,n_k,phi_1,n_broken_single,n_inconsistent_single,r_claim,r_claim_status,r_claim_censored,r_claim_depth_cap_used
ec8c0299aed6d330,Polzer_2012,Diabetes,ToothLoss,1.0,5,0.2,1,0,1,resolved,False,1
79451531931fae13,Polzer_2012,Hypertension,Mortality,1.0,5,0.4,2,0,1,resolved,False,1
ade6b1ee22aa140d,Polzer_2012,Obesity,Diabetes,1.0,5,0.4,2,0,1,resolved,False,1
6abd89ce758f33a8,Polzer_2012,Obesity,Hypertension,1.0,5,0.4,2,0,1,resolved,False,1
644e6034067b00f4,Polzer_2012,Obesity,Lipids,1.0,5,0.4,2,0,1,resolved,False,1
d0e57648746c79de,Polzer_2012,Obesity,Mortality,1.0,5,0.4,2,0,1,resolved,False,1
76d9c4e20b17608d,Polzer_2012,Obesity,Periodontitis,1.0,5,0.4,2,0,1,resolved,False,1
b4fb019663b756a9,Polzer_2012,Obesity,ToothLoss,1.0,5,0.4,2,0,1,resolved,False,1
fcd4759c3569eab6,Polzer_2012,Psychosocial,Alcohol,1.0,5,0.4,2,0,1,resolved,False,1
d35eb5538491a8a1,Polzer_2012,Psychosocial,Caries,1.0,5,0.2,1,0,1,resolved,False,1
d0dab3583945a5e3,Polzer_2012,Psychosocial,Diabetes,1.0,5,0.4,2,0,1,resolved,False,1
7cfd9a171bf3ff87,Polzer_2012,Psychosocial,Hypertension,1.0,5,0.4,2,0,1,resolved,False,1
ddbb757b354bf60d,Polzer_2012,Psychosocial,Lipids,1.0,5,0.4,2,0,1,resolved,False,1
815cc85da003ee98,Polzer_2012,Psychosocial,Mortality,1.0,5,0.6,3,0,1,resolved,False,1
e15ef8e20dd4ec99,Polzer_2012,Psychosocial,Obesity,1.0,5,0.4,2,0,1,resolved,False,1
c03391b001a5a482,Polzer_2012,Psychosocial,Periodontitis,1.0,5,0.4,2,0,1,resolved,False,1
2c070254d4797dd7,Polzer_2012,Psychosocial,Smoking,1.0,5,0.4,2,0,1,resolved,False,1
f15ce13843a906b9,Polzer_2012,Psychosocial,Sport,1.0,5,0.4,2,0,1,resolved,False,1
23c117e15440b8d8,Polzer_2012,Psychosocial,ToothLoss,1.0,5,0.6,3,0,1,resolved,False,1
f98a22543de3bb6a,Polzer_2012,Smoking,Diabetes,1.0,5,0.4,2,0,1,resolved,False,1
f851ff415c7394fb,Polzer_2012,Smoking,Hypertension,1.0,5,0.4,2,0,1,resolved,False,1
61a50cd822a24b4b,Polzer_2012,Smoking,Lipids,1.0,5,0.4,2,0,1,resolved,False,1
949353faaf15788d,Polzer_2012,Smoking,Mortality,1.0,5,0.4,2,0,1,resolved,False,1
901de9e163e0db69,Polzer_2012,Smoking,Obesity,1.0,5,0.4,2,0,1,resolved,False,1
f1998d1f4475d7af,Polzer_2012,Smoking,Periodontitis,1.0,5,0.4,2,0,1,resolved,False,1
89a66c25c83dabfd,Polzer_2012,Smoking,Sport,1.0,5,0.4,2,0,1,resolved,False,1
841065b6f787dd78,Polzer_2012,Smoking,ToothLoss,1.0,5,0.4,2,0,1,resolved,False,1
86fdbf85a92fff7e,Polzer_2012,Sport,Diabetes,1.0,5,0.2,1,0,1,resolved,False,1
baef583eba6a4f16,Polzer_2012,Sport,Hypertension,1.0,5,0.2,1,0,1,resolved,False,1
07b04c9675ddfa36,Polzer_2012,Sport,Lipids,1.0,5,0.2,1,0,1,resolved,False,1
1e537e8ae7d5b35d,Polzer_2012,Sport,Mortality,1.0,5,0.2,1,0,1,resolved,False,1
488fbbde6b254704,Polzer_2012,Sport,Obesity,1.0,5,0.2,1,0,1,resolved,False,1
18465e57ffb66845,Polzer_2012,Sport,Periodontitis,1.0,5,0.2,1,0,1,resolved,False,1
bb6927eef7e8c0a4,Polzer_2012,Sport,ToothLoss,1.0,5,0.2,1,0,1,resolved,False,1
66e0e77416c34965,Schipf_2010,S,T2DM,0.5,2,0.5,1,0,1,resolved,False,1
7145d83650cc895b,Schipf_2010,S,TT,0.5,2,0.5,1,0,1,resolved,False,1
ab3b601952dc6301,Schipf_2010,PA,T2DM,1.0,3,0.6666666666666666,2,0,1,resolved,False,1
2eb9b91503918261,Schipf_2010,PA,TT,1.0,3,0.6666666666666666,2,0,1,resolved,False,1
a0ae341e55c715fd,Schipf_2010,PA,U,1.0,3,0.6666666666666666,2,0,1,resolved,False,1
8d8cf4141054c3ab,Schipf_2010,PA,WC,1.0,3,0.6666666666666666,2,0,1,resolved,False,1
738b18e66b8b8afe,Schipf_2010,S,T2DM,1.0,3,0.3333333333333333,1,0,1,resolved,False,1
49ab073605788ab2,Schipf_2010,S,TT,1.0,3,0.3333333333333333,1,0,1,resolved,False,1
965bd55c192abfe6,Schipf_2010,U,T2DM,1.0,3,0.3333333333333333,1,0,1,resolved,False,1
68a60e621127dd9b,Schipf_2010,U,TT,1.0,3,0.3333333333333333,1,0,1,resolved,False,1
