instance_id,base_instance_id,arm,gate,component_size,separation,separation_status,coverage,base_wrongness,n_tiers,seed,x,y,n_k,shd_truth,shd_cpdag,k_g0,undirected_fraction,z_size,z_star,phi_1,phi_1_n_broken,phi_1_n_inconsistent,r_claim,r_claim_censored,r_claim_cap,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac,AUC_abs,n_depths_evaluated,n_depths_all_contradictory
c06_s01_cov100_seed00000148_tiered_nt2,c06_s01_cov100_seed00000148,tiered,fast_gate,6,1,measured,,,2,148,X,Y,1,2,3,3,0.625,2,"C00,W",1.0,1,0,1,0,1,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C05 W->Y X->C03 X->Y C00-C02 C00-C04 C00-X,0.00020887499999844295,0.0,0.00020887499999844295,,1,3,2,0,0.7837939864206932,1.8113237359393366,6,2
c06_s01_cov100_seed00000155_tiered_nt2,c06_s01_cov100_seed00000155,tiered,fast_gate,6,1,measured,,,2,155,X,Y,3,3,3,3,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->Y C03->C05 W->Y X->Y C00-C02 C00-C03 C00-X C04-X,0.0003163749999970378,0.0,0.0003163749999970378,,1,3,3,0,0.6415282837881459,2.63219500778686,5,1
c06_s01_cov100_seed00000157_tiered_nt2,c06_s01_cov100_seed00000157,tiered,fast_gate,6,1,measured,,,2,157,X,Y,3,2,3,3,0.625,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->C05 C00->Y W->Y X->Y C00-C02 C00-C03 C00-X,0.00018895899999904486,0.0,0.00018895899999904486,,1,3,2,0,0.745493171495331,2.2565689065829577,6,3
c06_s01_cov100_seed00000158_tiered_nt2,c06_s01_cov100_seed00000158,tiered,fast_gate,6,1,measured,,,2,158,X,Y,3,2,3,3,0.625,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C05 W->Y X->Y C00-C02 C00-C04 C00-X,0.0002696249999942779,0.0,0.0002696249999942779,,1,3,4,0,0.7387125224069997,2.2564314946726123,5,2
c06_s01_cov100_seed00000160_tiered_nt2,c06_s01_cov100_seed00000160,tiered,fast_gate,6,1,measured,,,2,160,X,Y,1,2,3,3,0.625,2,"C00,W",1.0,1,0,1,0,1,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C05 W->Y X->C03 X->Y C00-C02 C00-C04 C00-X,0.0001907500000015716,0.0,0.0001907500000015716,,1,3,2,0,0.775772484036589,1.8027526975417774,6,2
c06_s01_cov100_seed00000164_tiered_nt2,c06_s01_cov100_seed00000164,tiered,fast_gate,6,1,measured,,,2,164,X,Y,3,2,4,4,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->Y C03->C04 W->Y X->C02 X->Y C00-C03 C00-C05 C00-X,0.0015680830000093238,0.0,0.0015680830000093238,,1,4,3,0,0.5554382122380492,2.3400303146788715,6,1
c06_s01_cov100_seed00000167_tiered_nt2,c06_s01_cov100_seed00000167,tiered,fast_gate,6,1,measured,,,2,167,X,Y,2,2,3,3,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C04 W->Y X->C02 X->Y C00-C03 C00-C05 C00-X,0.00023154200000874425,0.0,0.00023154200000874425,,1,3,3,0,0.5836256092444826,1.8063231449539212,5,1
c06_s01_cov100_seed00000172_tiered_nt2,c06_s01_cov100_seed00000172,tiered,fast_gate,6,1,measured,,,2,172,X,Y,2,2,3,3,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->Y W->Y X->C05 X->Y C00-C02 C00-C03 C00-X,0.0005574169999960077,0.0,0.0005574169999960077,,1,3,2,0,0.6022483554698204,1.8648703506658881,6,2
c06_s01_cov100_seed00000184_tiered_nt2,c06_s01_cov100_seed00000184,tiered,fast_gate,6,1,measured,,,2,184,X,Y,3,2,4,4,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C03->C05 W->Y X->C04 X->Y C00-C02 C00-C03 C00-X,0.00040925000000413547,0.0,0.00040925000000413547,,1,4,3,0,0.5518309153166729,2.340127591568385,6,1
c06_s01_cov100_seed00000185_tiered_nt2,c06_s01_cov100_seed00000185,tiered,fast_gate,6,1,measured,,,2,185,X,Y,3,3,3,3,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->C05 C00->Y W->Y X->Y C00-C02 C00-C03 C00-X C05-X,0.0009323750000049813,0.0,0.0009323750000049813,,1,3,2,0,0.6466408654954032,2.6530418418132067,6,2
