stratum,arm,predictor,endpoint,stratum_n,n,n_excluded,tau_b,ci_lo_2p5,ci_hi_97p5,n_boot,seed,status
flip_cov1.0_bw0.25,flip,shd_truth,AUC_frac,334,334,0,-0.10160716422851537,-0.19648109033229522,-0.008256095427183656,10000,0,ok
flip_cov1.0_bw0.25,flip,n_k,AUC_frac,334,334,0,-0.11228217784009271,-0.19897461572405625,-0.025883481801258504,10000,0,ok
flip_cov1.0_bw0.25,flip,k_g0,AUC_frac,334,334,0,-0.11228217784009271,-0.19897461572405625,-0.025883481801258504,10000,0,ok
flip_cov1.0_bw0.25,flip,separation,AUC_frac,334,334,0,0.3123484532966669,0.230856419245492,0.38861768515854783,10000,0,ok
flip_cov1.0_bw0.25,flip,neg_phi_1,AUC_frac,334,334,0,0.2997962982487468,0.2053169448585501,0.383002580650264,10000,0,ok
flip_cov1.0_bw0.25,flip,r_claim,AUC_frac,334,196,138,0.2930756036344179,0.1860020036345952,0.39337759386285415,10000,0,ok
tiered_nt2,tiered,r_val,AUC_frac,414,414,0,0.8190088730682316,0.7972898249576599,0.8392749299145869,10000,0,ok
tiered_nt2,tiered,shd_truth,AUC_frac,414,414,0,0.27613022938554505,0.21537897433162972,0.33645549505303274,10000,0,ok
tiered_nt2,tiered,n_k,AUC_frac,414,414,0,-0.5682237999111347,-0.60145750882054,-0.5325314618460342,10000,0,ok
tiered_nt2,tiered,k_g0,AUC_frac,414,414,0,0.24870975846694046,0.18216597476986945,0.3158011796656399,10000,0,ok
tiered_nt2,tiered,separation,AUC_frac,414,414,0,0.7342737907844451,0.6963149866883802,0.7697362579923769,10000,0,ok
tiered_nt2,tiered,neg_phi_1,AUC_frac,414,414,0,-0.5682237999111347,-0.60145750882054,-0.5325314618460342,10000,0,ok
tiered_nt2,tiered,r_claim,AUC_frac,414,414,0,,,,10000,0,undefined (predictor or endpoint constant)
tiered_nt3,tiered,r_val,AUC_frac,480,480,0,0.8071605524071076,0.7887706258761522,0.8244762296928531,10000,0,ok
tiered_nt3,tiered,shd_truth,AUC_frac,480,480,0,0.08039680748238814,0.01787543967180998,0.1418570445431485,10000,0,ok
tiered_nt3,tiered,n_k,AUC_frac,480,480,0,-0.45560842440341587,-0.5088980612988855,-0.40108776019627546,10000,0,ok
tiered_nt3,tiered,k_g0,AUC_frac,480,480,0,0.07381621972752202,0.010669616632633135,0.1366995166192346,10000,0,ok
tiered_nt3,tiered,separation,AUC_frac,480,480,0,0.8203946510803914,0.8039430071374482,0.836253994171281,10000,0,ok
