instance_id,generator,seed,true_dag,cpdag,corruption,corruption_rate,k_assumed_consistent,g0,treatment,outcome,space_size,n_covers,max_shell,r_val,r_opt,method,notes,z,k_true,k_assumed,desc_n_nodes,desc_n_edges,desc_n_compelled,desc_n_undirected,desc_n_components,desc_largest_component_nodes,desc_largest_component_edges,desc_knowledge_component_nodes,desc_knowledge_component_edges,desc_knowledge_component_density,desc_treatment_in_component,r_eps_0.02,r_eps_0.05,r_eps_0.1,r_eps_0.2,params_json,time_graph,time_gate,time_knowledge,time_g0_and_z,time_space,time_radius_val_opt,time_radius_eps
inst_000400,erdos_renyi,20261319,V0->V2 V0->V3 V0->V4 V0->V6 V1->V2 V1->V5 V1->V7 V3->V1 V3->V5 V4->V2 V6->V1 V6->V5 V6->V7 V7->V4,V0->V2 V0->V4 V1->V2 V1->V7 V3->V1 V3->V5 V4->V2 V6->V1 V6->V5 V6->V7 V7->V4 V0-V3 V0-V6 V1-V5,flip,0.25,True,V0->V2 V0->V3 V0->V4 V1->V2 V1->V5 V1->V7 V3->V1 V3->V5 V4->V2 V6->V1 V6->V5 V6->V7 V7->V4 V0-V6,V3,V2,18,30,5,1,1,bfs_exact,,V0|V6,V0->V3|V1->V5,V0->V3|V1->V5,8,14,11,3,2,3,2,3,2,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.45}",0.00016775000000013307,0.0003849169999998736,1.987500000000253e-05,9.820800000026608e-05,0.004090833000000238,0.0004937080000000371,0.018690332999999892
inst_000403,erdos_renyi,20261322,V0->V5 V0->V7 V1->V0 V1->V2 V1->V5 V1->V7 V3->V1 V3->V2 V4->V0 V4->V5 V5->V7 V6->V2 V6->V7,V0->V7 V1->V0 V1->V2 V1->V5 V1->V7 V3->V2 V4->V0 V4->V5 V5->V7 V6->V2 V6->V7 V0-V5 V1-V3,flip,0.5,True,V0->V7 V1->V0 V1->V2 V1->V5 V1->V7 V3->V1 V3->V2 V4->V0 V4->V5 V5->V0 V5->V7 V6->V2 V6->V7,V1,V2,9,12,4,1,1,bfs_exact,,V3|V6,V0->V5|V3->V1,V3->V1|V5->V0,8,13,11,2,2,2,1,2,1,1.0,True,1,1,1,1,"{""edge_prob"": 0.45}",8.45420000001873e-05,0.0005624580000000989,1.3041000000324487e-05,5.487500000000978e-05,0.0014535839999996192,8.395799999982856e-05,0.01065637499999994
inst_000409,erdos_renyi,20261328,V0->V2 V0->V3 V0->V4 V0->V6 V0->V7 V1->V3 V1->V4 V1->V5 V3->V2 V3->V4 V3->V5 V5->V4 V6->V2 V6->V3 V6->V4 V6->V5 V7->V2 V7->V5,V0->V2 V0->V3 V0->V4 V1->V3 V1->V4 V1->V5 V3->V2 V3->V4 V3->V5 V5->V4 V6->V2 V6->V3 V6->V4 V6->V5 V7->V2 V7->V5 V0-V6 V0-V7,compound,0.25,True,V0->V2 V0->V3 V0->V4 V0->V6 V0->V7 V1->V3 V1->V4 V1->V5 V3->V2 V3->V4 V3->V5 V5->V4 V6->V2 V6->V3 V6->V4 V6->V5 V7->V2 V7->V5,V6,V5,6,6,2,1,1,bfs_exact,,V0|V1|V7,V0->V6|V0->V7,V0->V6|V0->V7,8,18,16,2,1,3,2,3,2,0.6666666666666666,True,1,1,1,1,"{""edge_prob"": 0.45}",0.00016620800000000102,0.00037912499999981364,1.8374999999792863e-05,6.858300000001094e-05,0.0012775000000000425,0.00021820800000016405,0.01158045899999971
inst_000414,erdos_renyi,20261333,V0->V3 V0->V6 V1->V4 V1->V5 V1->V6 V1->V7 V2->V3 V2->V4 V3->V7 V5->V3 V5->V6 V5->V7 V6->V3 V6->V4 V6->V7 V7->V4,V0->V3 V0->V6 V1->V4 V1->V6 V1->V7 V2->V3 V2->V4 V3->V7 V5->V3 V5->V6 V5->V7 V6->V3 V6->V4 V6->V7 V7->V4 V1-V5,compound,0.5,True,V0->V3 V0->V6 V1->V4 V1->V5 V1->V6 V1->V7 V2->V3 V2->V4 V3->V7 V5->V3 V5->V6 V5->V7 V6->V3 V6->V4 V6->V7 V7->V4,V5,V7,3,2,2,1,1,bfs_exact,,V0|V1|V2,V1->V5,V1->V5,8,16,15,1,1,2,1,2,1,1.0,True,1,1,1,1,"{""edge_prob"": 0.45}",0.00014300000000000423,0.00029750000000028365,1.7875000000167063e-05,5.0125000000011966e-05,0.00042479200000000716,8.091700000001367e-05,0.004073416999999857
inst_000417,erdos_renyi,20261336,V0->V3 V1->V2 V1->V4 V1->V5 V1->V7 V2->V0 V2->V7 V3->V4 V7->V0 V7->V3,V1->V4 V3->V4 V0-V2 V0-V3 V0-V7 V1-V2 V1-V5 V1-V7 V2-V7 V3-V7,compound,0.5,True,V0->V2 V0->V3 V0->V7 V1->V4 V1->V5 V2->V1 V3->V4 V3->V7 V7->V1 V7->V2,V2,V0,122,279,14,0,3,bfs_exact,,,V0->V3|V1->V5|V2->V0|V2->V7|V7->V0|V7->V3,V0->V3|V0->V7|V3->V7,8,10,2,8,1,6,8,6,8,0.5333333333333333,True,0,0,0,0,"{""edge_prob"": 0.45}",8.816699999991684e-05,0.0013200840000000547,2.358299999993818e-05,0.00020170799999963407,0.256577042,0.00039754199999997297,0.06536537499999984
inst_000423,erdos_renyi,20261342,V0->V1 V0->V7 V1->V7 V2->V0 V2->V6 V4->V0 V4->V7 V5->V0 V5->V1 V5->V2 V5->V6 V6->V7,V0->V1 V0->V7 V1->V7 V2->V0 V4->V0 V4->V7 V5->V0 V5->V1 V6->V7 V2-V5 V2-V6 V5-V6,tiered,0.25,True,V0->V1 V0->V7 V1->V7 V2->V0 V4->V0 V4->V7 V5->V0 V5->V1 V5->V2 V6->V2 V6->V7 V5-V6,V2,V1,19,30,5,1,1,bfs_exact,,V4|V5,V2->V6|V5->V6,V5->V2|V6->V2,8,12,9,3,1,3,3,3,3,1.0,True,1,1,1,1,"{""edge_prob"": 0.45}",0.0001497499999998375,0.000882833999999999,4.308400000008206e-05,8.783300000025918e-05,0.0038647499999999724,0.00015016599999961855,0.01581137499999974
inst_000587,scale_free,20261506,V2->V0 V2->V1 V3->V0 V3->V1 V4->V1 V4->V2 V5->V1 V5->V3,V2->V0 V2->V1 V3->V0 V3->V1 V4->V1 V5->V1 V2-V4 V3-V5,omit,0.5,True,V2->V0 V2->V1 V3->V0 V3->V1 V4->V1 V5->V1 V5->V3 V2-V4,V3,V1,9,12,3,1,1,bfs_exact,,V2|V4|V5,V4->V2|V5->V3,V5->V3,6,8,6,2,2,2,1,2,1,1.0,True,1,1,1,1,"{""m_attach"": 2}",5.262499999991732e-05,0.00043820799999982896,1.2499999999970868e-05,5.1416999999887025e-05,0.0009833750000001196,4.9875000000199066e-05,0.004787959000000175
inst_000588,scale_free,20261507,V0->V3 V1->V4 V1->V5 V2->V0 V2->V1 V2->V3 V2->V4 V2->V5,V0-V2 V0-V3 V1-V2 V1-V4 V1-V5 V2-V3 V2-V4 V2-V5,flip,0.25,True,V1->V4 V2->V0 V2->V1 V2->V4 V2->V5 V3->V0 V3->V2 V5->V1,V1,V4,414,1330,12,2,2,bfs_exact,,V2,V1->V5|V2->V0|V2->V1|V2->V3|V2->V4|V2->V5,V2->V0|V2->V1|V2->V4|V2->V5|V3->V2|V5->V1,6,8,0,8,1,6,8,6,8,0.5333333333333333,True,2,2,2,3,"{""m_attach"": 2}",7.245899999963612e-05,0.0016202920000001342,2.012499999981543e-05,0.0001647920000000802,0.8325371659999998,0.0010577919999996688,0.16053966699999966
inst_000592,scale_free,20261511,V0->V2 V1->V2 V3->V1 V3->V2 V3->V4 V4->V2 V4->V5 V5->V2,V0->V2 V1->V2 V3->V2 V4->V2 V5->V2 V1-V3 V3-V4 V4-V5,flip,0.25,True,V0->V2 V1->V2 V3->V1 V3->V2 V4->V2 V4->V5 V5->V2 V3-V4,V1,V2,10,12,3,1,1,bfs_exact,,V0|V3|V4|V5,V3->V1|V4->V5,V3->V1|V4->V5,6,8,5,3,1,4,3,4,3,0.5,True,1,1,1,2,"{""m_attach"": 2}",5.4583999999913146e-05,0.0004021669999998423,1.3917000000418511e-05,6.899999999987472e-05,0.001993792000000383,0.00012158400000039649,0.01116824999999988
inst_000601,scale_free,20261520,V0->V2 V0->V5 V1->V2 V1->V5 V3->V0 V3->V2 V4->V1 V4->V2,V0->V2 V0->V5 V1->V2 V1->V5 V3->V2 V4->V2 V0-V3 V1-V4,compound,0.25,True,V0->V2 V0->V5 V1->V2 V1->V5 V3->V0 V3->V2 V4->V1 V4->V2,V1,V2,9,12,4,1,1,bfs_exact,,V0|V3|V4,V3->V0|V4->V1,V3->V0|V4->V1,6,8,6,2,2,2,1,2,1,1.0,True,1,1,1,1,"{""m_attach"": 2}",5.4833000000087395e-05,0.0004497080000005482,2.3875000000117552e-05,4.1500000000027626e-05,0.0009905420000002607,4.062500000046043e-05,0.005647542000000172
