instance_id,generator,generator_params_json,n,seed,knows_fraction,corruption_name,corruption_rate,n_undirected_cpdag,n_k0,x,y,z_size,z,r_val,r_val_method,r_val_seconds,r_val_exact,theta_z,tau_true,beta_top,r0_d,staircase_json,traversal_limit_d,monotone_violation,k_false,realised_error_effect,beta_up_at_kfalse,beta_up_at_kfalse_is_lower_bound,certificate_holds,conservativeness_ratio,staircase_shape,staircase_n_distinct,staircase_total_rise,cost_incremental_seconds,cost_incremental_states,cost_incremental_shells,cost_incremental_radius,cost_bisection_seconds,cost_bisection_states,cost_bisection_shells,cost_bisection_radius,cost_disagreement,cost_greedy_seconds,cost_greedy_states,cost_greedy_radius,cost_greedy_tight,states_saved_subsample,states_saved_below_rval,old_reps_subsample,old_r_eps_json,old_new_disagree_count,old_new_disagree_direction,old_mean_abs_bias_monotone,status,notes,timing_total_seconds,r_eps_0.01,r_eps_0.02,r_eps_0.05,r_eps_0.1,r_eps_0.25,r_eps_0.5,r_eps_1
inst_000166,erdos_renyi,"{""edge_prob"": 0.5}",10,20261082,1.0,flip,0.3,4,4,V0,V4,1,V9,1,local_up_fast,0.0002782090159598738,True,-0.15557399080079262,0.7089715307236233,0.934464702785681,1,"[[0, 0.0], [1, 0.8645455215244158]]",1,False,1,0.8645455215244159,0.8645455215244158,False,True,1.0000000000000002,step,2,0.8645455215244158,0.0012835420202463865,4,1,1,0.0028375830152072012,11,3,1,False,0.0007373339904006571,4,1,True,False,-1,True,"{""0.00155574"": 1, ""0.00311148"": 1, ""0.0077787"": 1, ""0.0155574"": 1, ""0.0388935"": 1, ""0.077787"": 1, ""0.155574"": 1}",0,equal,violated_23_59,ok,,0.28182079197722487,1,1,1,1,1,1,1
inst_000167,erdos_renyi,"{""edge_prob"": 0.5}",10,20261083,1.0,omit,0.3,3,3,V5,V9,3,V0|V4|V8,2,local_up_fast,0.0003091669932473451,True,-0.8209101095594571,-0.8209101095594586,0.4398569933330534,2,"[[0, 0.0], [1, 0.0], [2, 0.4398569933330534], [3, 0.4398569933330534]]",3,False,0,1.5543122344752192e-15,0.0,False,True,nan,step,2,0.4398569933330534,7.81250128056854e-05,1,1,-1,7.383298361673951e-05,1,1,-1,False,nan,0,-1,False,False,-1,False,,-1,,,capped_timeout,hard wall-cap of 8s hit,8.007047124992823,2,2,2,2,2,2,-1
inst_000172,erdos_renyi,"{""edge_prob"": 0.5}",12,20261088,0.7,none,0.0,8,8,V05,V03,1,V11,1,local_up_fast,0.00039083301089704037,True,0.6141084760224729,0.6141084760224728,0.6141084760224732,1,"[[0, 0.0], [1, 0.6141084760224732]]",1,False,0,1.1102230246251565e-16,0.0,False,True,nan,step,2,0.6141084760224732,0.0073332919855602086,3,1,1,0.04775920801330358,27,4,1,False,0.004893834004178643,8,1,True,False,-1,False,,-1,,,ok,,0.07186875000479631,1,1,1,1,1,1,1
inst_000173,erdos_renyi,"{""edge_prob"": 0.5}",12,20261089,0.7,flip,0.15,4,3,V11,V07,3,V05|V08|V09,1,local_up_fast,0.00025070799165405333,True,0.5598046758097537,0.5598046758097539,0.0424343869320678,1,"[[0, 0.0], [1, 0.0424343869320678], [2, 0.0424343869320678], [3, 0.0424343869320678]]",3,False,0,2.220446049250313e-16,0.0,False,True,nan,step,2,0.0424343869320678,0.00013374999980442226,1,1,-1,0.0001328329963143915,1,1,-1,False,0.0010108329879585654,6,-1,True,False,-1,True,"{""0.00559805"": 1, ""0.0111961"": 1, ""0.0279902"": 1, ""0.0559805"": 1, ""0.139951"": 1, ""0.279902"": 1, ""0.559805"": 2}",4,new_larger,violated_7_26,ok,,0.2692194590053987,1,1,1,-1,-1,-1,-1
inst_000174,erdos_renyi,"{""edge_prob"": 0.5}",12,20261090,0.7,flip,0.3,3,3,V03,V04,4,V02|V07|V08|V11,1,local_up_fast,0.00020266600768081844,True,1.2054151065864764,1.8297985503716503,0.6243834437851798,1,"[[0, 0.0], [1, 0.3900237141321392], [2, 0.6243834437851798], [3, 0.6243834437851798]]",3,False,2,0.6243834437851739,0.6243834437851798,False,True,0.9999999999999905,ramp,3,0.6243834437851798,0.00022670897305943072,1,1,-1,0.0002277089806739241,1,1,-1,False,0.0010779169970192015,6,-1,True,True,1,True,"{""0.0120542"": 1, ""0.0241083"": 1, ""0.0602708"": 1, ""0.120542"": 1, ""0.301354"": 1, ""0.602708"": 2, ""1.20542"": 4}",1,new_larger,violated_13_30,ok,,0.22691662498982623,1,1,1,1,1,2,-1
inst_000179,erdos_renyi,"{""edge_prob"": 0.5}",12,20261095,1.0,omit,0.3,4,3,V08,V01,3,V03|V04|V05,1,local_up_fast,0.00020816599135287106,True,2.2652182465911164,2.2652182465911173,0.620398765084603,1,"[[0, 0.0], [1, 0.620398765084603], [2, 0.620398765084603], [3, 0.620398765084603]]",3,False,0,8.881784197001252e-16,0.0,False,True,nan,step,2,0.620398765084603,0.0002415000053588301,1,1,-1,0.00024833399220369756,1,1,-1,False,0.0012205829843878746,6,-1,True,False,-1,True,"{""0.0226522"": 1, ""0.0453044"": 1, ""0.113261"": 1, ""0.226522"": 1, ""0.566305"": 2, ""1.13261"": 4, ""2.26522"": -1}",2,mixed,violated_60_128,ok,,1.0016813749971334,1,1,1,1,1,-1,-1
inst_000246,scale_free,"{""m_attach"": 2}",6,20261162,0.7,flip,0.3,1,1,V4,V2,3,V1|V3|V5,1,local_up_fast,5.9958023484796286e-05,True,1.2539695575101861,1.253969557510186,1.2539695575101857,1,"[[0, 0.0], [1, 1.2539695575101857]]",1,False,0,2.220446049250313e-16,0.0,False,True,nan,step,2,1.2539695575101857,2.9916991479694843e-05,1,1,-1,2.824998227879405e-05,1,1,-1,False,2.912498894147575e-05,1,-1,True,False,-1,True,"{""0.0125397"": 1, ""0.0250794"": 1, ""0.0626985"": 1, ""0.125397"": 1, ""0.313492"": 2, ""0.626985"": -1, ""1.25397"": -1}",2,old_larger,violated_1_2,ok,,0.008295875013573095,1,1,1,1,1,1,-1
inst_000251,scale_free,"{""m_attach"": 2}",6,20261167,1.0,omit,0.3,8,7,V1,V4,1,V2,2,local_up_fast,0.0005756250175181776,True,-0.550569664149675,-0.5505696641496748,0.550569664149675,2,"[[0, 0.0], [1, 0.0], [2, 0.550569664149675], [3, 0.550569664149675], [4, 0.550569664149675], [5, 0.550569664149675], [6, 0.550569664149675], [7, 0.550569664149675]]",7,False,0,2.220446049250313e-16,0.0,False,True,nan,step,2,0.550569664149675,0.0007357499853242189,1,1,-1,0.0007626670121680945,1,1,-1,False,nan,0,-1,False,False,-1,False,,-1,,,capped_timeout,hard wall-cap of 8s hit,8.007983999996213,2,2,2,2,2,2,-1
inst_000254,scale_free,"{""m_attach"": 2}",7,20261170,0.4,flip,0.3,3,1,V5,V1,2,V2|V4,1,local_up_fast,0.00010266600293107331,True,1.1185703591043932,1.1185703591043932,0.7647537537067322,1,"[[0, 0.0], [1, 0.7647537537067322]]",1,False,0,0.0,0.0,False,True,nan,step,2,0.7647537537067322,9.741701069287956e-05,1,1,-1,5.7375000324100256e-05,1,1,-1,False,5.8582983911037445e-05,1,-1,True,False,-1,True,"{""0.0111857"": 1, ""0.0223714"": 1, ""0.0559285"": 1, ""0.111857"": 1, ""0.279643"": 3, ""0.559285"": 3, ""1.11857"": -1}",2,old_larger,violated_2_12,ok,,0.04850183299276978,1,1,1,1,1,1,-1
inst_000268,scale_free,"{""m_attach"": 2}",8,20261184,0.7,none,0.0,4,3,V3,V1,4,V2|V4|V5|V7,1,local_up_fast,0.0001585420104674995,True,0.7389805402269138,0.7389805402269136,0.24527256473304587,1,"[[0, 0.0], [1, 0.24527256473304587], [2, 0.24527256473304587], [3, 0.24527256473304587]]",3,False,0,2.220446049250313e-16,0.0,False,True,nan,step,2,0.24527256473304587,7.954100146889687e-05,1,1,-1,7.666699821129441e-05,1,1,-1,False,0.0005552080110646784,6,-1,True,False,-1,True,"{""0.00738981"": 1, ""0.0147796"": 1, ""0.036949"": 1, ""0.0738981"": 1, ""0.184745"": 1, ""0.36949"": 2, ""0.738981"": 3}",2,new_larger,violated_9_36,ok,,0.16071020800154656,1,1,1,1,1,-1,-1
