n,edge_prob,seed,attempt,effective_seed,x,y,z_size,k_undirected,k_g0,largest_component,space_build_s,space_bfs_query_enum_s,space_bfs_query_crit_s,space_censored,space_error,space_total_crit_s,space_total_enum_s,search_frozen_s,search_frozen_censored,search_frozen_error,search_fast_s,search_fast_censored,search_fast_error,search_fast_top_s,search_fast_top_censored,search_fast_top_error,search_fast_top_method,hybrid_total_s,hybrid_censored,hybrid_error,hybrid_method,radius_agree,speedup_space_vs_search,speedup_space_vs_search_lb,speedup_search_vs_hybrid,speedup_search_vs_hybrid_lb,speedup_e2e,speedup_e2e_lb,speedup_space_vs_search_enum,speedup_search_vs_hybrid_enum,speedup_e2e_enum,speedup_space_vs_search_top,speedup_search_top_vs_hybrid,gate_exhausted,gate_error
14,0.7,6,0,6,V00,V01,9,7,7,5,0.7365169579989015,0.039867167000920745,0.0056955840009322856,False,False,0.7422125419998338,0.7763841249998222,0.1400516659996356,False,False,0.010452290996909142,False,False,0.00011783299851231277,False,False,top_state,0.00011700000322889537,False,False,top_state,True,71.00955591643155,,89.33581802096694,,6343.696765100006,,5.5435550834635725,1197.0227532869603,6635.761569005491,6298.851352087739,1.0071196176105035,False,
14,0.7,7,0,7,V00,V01,4,17,17,7,,,,True,False,,,0.7062162500005797,False,False,0.13949562500056345,False,False,0.1448439169980702,False,False,local_up_fast_exact,0.5649599990065326,False,False,e1_ladder,True,,860.2670445149413,0.2469123924629405,,,212.4105941182071,,1.2500287652974416,,,0.2563790662219882,False,
14,0.85,0,0,0,V00,V01,4,3,3,3,0.006324207999568898,0.002949375000753207,0.0016439589999208692,False,False,0.007968166999489767,0.009273583000322105,0.0073810419999063015,False,False,0.0014859169968985952,False,False,0.0001478749982197769,False,False,top_state,0.00014133300282992423,False,False,top_state,True,5.36245767167407,,10.513588242985978,,56.37867193042246,,1.2564056674436792,52.22447589816244,65.61512749772712,53.884477399263965,1.0462878114726333,False,
14,0.85,1,0,1,V00,V02,7,8,8,5,4.006623875000514,0.0010122909989149775,0.001833416999943438,False,False,4.0084572920004575,4.007636165999429,0.001984959002584219,False,False,0.0010212919951300137,False,False,0.009018540993565693,False,False,local_up_fast_exact,0.0012078740037395619,False,False,local_up_fast,True,3924.888583396924,,0.8455285832529778,,3318.6054833453877,,2019.0019848177649,1.643349386143598,3317.92567237298,444.4684893998158,7.466458393544699,False,
14,0.85,2,0,2,V00,V01,2,3,3,3,0.006872874999316991,0.0007694169999012956,0.0008853749986883486,False,False,0.00775824999800534,0.007642291999218287,0.0022804999971413054,False,False,0.0008217919967137277,False,False,0.0010826260040630586,False,False,local_up_fast_exact,0.001003417004540097,False,False,local_up_fast,True,9.440649250698332,,0.8189934922324595,,7.73183029877118,,3.3511475592186777,2.272734054558446,7.616267179686706,7.166140448214703,1.078939263700505,False,
14,0.85,3,0,3,V00,V01,4,6,6,4,0.5845608340005128,0.07428425000034622,0.04023287500058359,False,False,0.6247937090010964,0.6588450840008591,0.31030254200595664,False,False,0.026249833004840184,False,False,0.000225042000238318,False,False,top_state,0.00021137500152690336,False,False,top_state,True,23.8018165253048,,124.18608073433491,,2955.8543086353284,,2.1232345688879715,1468.0191118364676,3116.9489260394053,2776.342675320358,1.064657592490544,False,
14,0.85,4,0,4,V00,V02,2,2,2,3,0.0015137909995246446,0.0004259159995854134,0.001025124998704996,False,False,0.0025389159982296405,0.001939706999110058,0.001614375003555324,False,False,0.0009988750025513582,False,False,0.0002377499986323528,False,False,top_state,0.00021158299932722002,False,False,top_state,True,2.541775489169977,,4.720960595735602,,11.999621927578048,,1.20152194802215,7.629984491611447,9.16759382973978,10.67893170487761,1.1236725038795043,False,
14,0.85,5,0,5,V00,V05,10,8,8,5,4.32236254199961,0.2960494999988441,0.030499750000672066,False,False,4.352862292000282,4.618412041998454,0.3833112079955754,False,False,0.02847066699905554,False,False,0.00016766699991421774,False,False,top_state,0.00014204200124368072,False,False,top_state,True,152.88936828015585,,200.43836857953426,,30644.89555123003,,12.048726845607304,2698.5765100421554,32514.41124147018,25961.353720334384,1.1804043764954844,False,
14,0.85,6,0,6,V00,V01,11,9,9,5,23.618800542000827,1.216379916999358,0.08708141700117267,False,False,23.705881959002,24.835180459000185,2.7864211250052904,False,False,0.09056708400021307,False,False,0.00025433299742871895,False,False,top_state,0.00014683400513604283,False,False,top_state,True,261.7494227698247,,616.7991121423267,,161446.81156819442,,8.912931443179836,18976.67452729121,169137.79908128365,93208.0469253541,1.732112375420649,False,
14,0.85,7,0,7,V00,V01,5,14,14,6,,,,True,False,,,0.10655574999691453,False,False,0.029923458001576364,False,False,0.03028062499652151,False,False,local_up_fast_exact,0.5326893750025192,False,False,e1_ladder,True,,4010.3987812396945,0.05617430984320806,,,225.28138373218255,,0.20003355613468093,,,0.05684480753230399,False,
16,0.3,0,0,0,V00,V01,6,8,8,7,2.2883885000010196,0.0031210420002025785,0.002134667000063928,False,False,2.2905231670010835,2.291509542001222,0.008855459003825672,False,False,0.0026710000020102598,False,False,0.003223083993361797,False,False,local_up_fast_exact,0.0025862909969873726,False,False,local_up_fast,True,857.5526639001048,,1.0327530835167271,,885.6401579208168,,258.76801428489034,3.423999470338375,886.0215438519775,710.6619534950382,1.246218618522119,False,
16,0.3,1,0,1,V00,V15,3,3,3,3,0.003742249999049818,0.0020296660004532896,0.0012562920001073508,False,False,0.004998541999157169,0.005771915999503108,0.004306124996219296,False,False,0.0012851670035161078,False,False,0.00012250000145286322,False,False,top_state,0.00011070899927290156,False,False,top_state,True,3.889410469986844,,11.608514320937235,,45.1502771408455,,1.3403967614899128,38.895889444403224,52.135924246547766,40.80442399897079,1.106504459957193,False,
