n,edge_prob,seed,attempt,effective_seed,x,y,z_size,k_undirected,k_g0,largest_component,space_build_s,space_bfs_query_enum_s,space_bfs_query_crit_s,space_censored,space_error,space_total_crit_s,space_total_enum_s,search_frozen_s,search_frozen_censored,search_frozen_error,search_fast_s,search_fast_censored,search_fast_error,hybrid_total_s,hybrid_censored,hybrid_error,hybrid_method,radius_agree,speedup_space_vs_search,speedup_space_vs_search_lb,speedup_search_vs_hybrid,speedup_search_vs_hybrid_lb,speedup_e2e,speedup_e2e_lb,speedup_space_vs_search_enum,speedup_search_vs_hybrid_enum,speedup_e2e_enum,gate_exhausted,gate_error
10,0.5,2,0,2,V0,V1,3,6,6,6,0.09302812500027358,0.00018545900093158707,0.0005669170004694024,False,False,0.09359504200074298,0.09321358400120516,0.0005115419990033843,False,False,0.0002761249998002313,False,False,0.0002843750007741619,False,False,local_up_fast,True,338.958957242033,,0.9709890076431775,,329.1254215242079,,182.2207837925513,1.7988290025874265,327.7840307602541,False,
10,0.5,3,0,3,V0,V1,2,5,5,4,0.03801141599979019,0.00013379200026975013,0.000497749999340158,False,False,0.038509165999130346,0.03814520800005994,0.0004794999986188486,False,False,0.00023912500000733417,False,False,0.00025091700081247836,False,False,local_up_fast,True,161.04199058211913,,0.9530043768777673,,153.47372188586772,,79.5520502814043,1.9109904752018005,152.02321037053835,False,
10,0.5,4,0,4,V0,V2,1,3,3,3,0.002223375000539818,0.0003808329984167358,0.00040166699909605086,False,False,0.0026250419996358687,0.0026042079989565536,0.0018295840000064345,False,False,0.00048304200026905164,False,False,0.00044912500015925616,False,False,local_up_fast,True,5.4343970051749855,,1.0755179517901894,,5.844791536220539,,1.4233880482926144,4.073663232636078,5.79840355810325,False,
10,0.5,5,0,5,V0,V5,3,5,5,5,0.027588124999965657,0.0028950409996468807,0.002328042000954156,False,False,0.029916167000919813,0.030483165999612538,0.010101083000336075,False,False,0.001866583001174149,False,False,0.04503262499929406,False,False,e1_ladder,True,16.027236389756816,,0.041449571309765086,,0.6643220776356872,,3.0178116543145252,0.22430588935231785,0.6769129270188091,False,
10,0.5,6,0,6,V0,V1,4,6,6,5,0.10281987499911338,0.00016508399858139455,0.0006125410000095144,False,False,0.1034324159991229,0.10298495899769478,0.0010542499985604081,False,False,0.0005111250011395896,False,False,0.0005265839990897803,False,False,local_up_fast,True,202.36227100711756,,0.9706428642402501,,196.4214943445103,,97.68551969487508,2.0020547536247166,195.57175906542557,False,
10,0.5,7,0,7,V0,V4,2,3,3,2,0.0027910829994652886,4.350000017439015e-05,0.00016379099906771444,False,False,0.002954873998533003,0.0028345829996396787,0.0003266670009907102,False,False,0.00014612499944632873,False,False,0.00015191599959507585,False,False,local_up_fast,True,20.22155010935223,,0.9618802485308807,,19.45070964486338,,8.677286016166319,2.1503133433043526,18.658883904230702,False,
10,0.7,0,0,0,V0,V8,7,3,3,3,0.0028932080003869487,0.0014247909984987928,0.000463791000584024,False,False,0.0033569990009709727,0.0043179989988857415,0.00252066600114631,False,False,0.0005868339994776761,False,False,0.0005065410005045123,False,False,local_up_fast,True,5.720525743155543,,1.15851233936284,,6.627299661088477,,1.7130389337270657,4.976232918235127,8.524480732231025,False,
10,0.7,1,0,1,V0,V1,2,1,1,2,0.00020391699945321307,6.920800115040038e-05,9.099999988393392e-05,False,False,0.000294916999337147,0.00027312500060361344,0.0002772919997369172,False,False,0.0001357080000161659,False,False,0.00013408399900072254,False,False,local_up_fast,True,2.1731732786719697,,1.0121118181702993,,2.199494358275798,,0.9849725230541911,2.0680469094259557,2.036969382171706,False,
10,0.7,2,0,2,V0,V1,2,4,4,4,0.010714250000091852,0.00014799999917158857,0.00042308299998694565,False,False,0.011137333000078797,0.01086224999926344,0.0006434999995690305,False,False,0.0003424160004215082,False,False,0.0003221669994672993,False,False,local_up_fast,True,32.52573765936443,,1.0628524988210788,,34.570061547254355,,16.87995339011373,1.9974112824499493,33.71620934864244,False,
10,0.7,3,0,3,V0,V1,2,2,2,3,0.0006469159998232499,8.449999950244091e-05,0.0002062090006802464,False,False,0.0008531250005034963,0.0007314159993256908,0.0004841249992750818,False,False,0.000225499999942258,False,False,0.00022112499937065877,False,False,local_up_fast,True,3.7832594267048747,,1.019785192013797,,3.8581119409002382,,1.5107998975902859,2.189372529804157,3.3077037938151053,False,
