instance_id,component_size,separation,coverage,base_wrongness,n_draws,d,n_eval,n_contradictory,contradiction_rate,S,S_contra_as_fail
c06_s01_cov100_seed00000010_bw000,6,1,1.0,0.0,200,3,30,170,0.85,0.5,0.075
c06_s01_cov100_seed00000010_bw000,6,1,1.0,0.0,200,4,12,188,0.94,0.0,0.0
c06_s01_cov100_seed00000010_bw000,6,1,1.0,0.0,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000010_bw000,6,1,1.0,0.0,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000010_bw000,6,1,1.0,0.0,200,7,0,200,1.0,,0.0
c06_s01_cov100_seed00000010_bw000,6,1,1.0,0.0,1000,1,418,582,0.582,0.6483253588516746,0.271
c06_s01_cov100_seed00000010_bw000,6,1,1.0,0.0,1000,2,198,802,0.802,0.5606060606060606,0.111
c06_s01_cov100_seed00000010_bw000,6,1,1.0,0.0,1000,3,118,882,0.882,0.5508474576271186,0.065
c06_s01_cov100_seed00000010_bw000,6,1,1.0,0.0,1000,4,59,941,0.941,0.0,0.0
c06_s01_cov100_seed00000010_bw000,6,1,1.0,0.0,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000010_bw000,6,1,1.0,0.0,1000,6,0,1000,1.0,,0.0
c06_s01_cov100_seed00000010_bw000,6,1,1.0,0.0,1000,7,0,1000,1.0,,0.0
c06_s01_cov100_seed00000011_bw000,6,1,1.0,0.0,200,1,174,26,0.13,0.8160919540229885,0.71
c06_s01_cov100_seed00000011_bw000,6,1,1.0,0.0,200,2,75,125,0.625,0.7466666666666667,0.28
c06_s01_cov100_seed00000011_bw000,6,1,1.0,0.0,200,3,10,190,0.95,1.0,0.05
c06_s01_cov100_seed00000011_bw000,6,1,1.0,0.0,200,4,0,200,1.0,,0.0
c06_s01_cov100_seed00000011_bw000,6,1,1.0,0.0,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000011_bw000,6,1,1.0,0.0,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000011_bw000,6,1,1.0,0.0,1000,1,834,166,0.166,0.7913669064748201,0.66
c06_s01_cov100_seed00000011_bw000,6,1,1.0,0.0,1000,2,333,667,0.667,0.7897897897897898,0.263
c06_s01_cov100_seed00000011_bw000,6,1,1.0,0.0,1000,3,45,955,0.955,1.0,0.045
c06_s01_cov100_seed00000011_bw000,6,1,1.0,0.0,1000,4,0,1000,1.0,,0.0
c06_s01_cov100_seed00000011_bw000,6,1,1.0,0.0,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000011_bw000,6,1,1.0,0.0,1000,6,0,1000,1.0,,0.0
c06_s01_cov100_seed00000012_bw000,6,1,1.0,0.0,200,1,117,83,0.415,0.7777777777777778,0.455
c06_s01_cov100_seed00000012_bw000,6,1,1.0,0.0,200,2,83,117,0.585,0.6506024096385542,0.27
c06_s01_cov100_seed00000012_bw000,6,1,1.0,0.0,200,3,45,155,0.775,0.5333333333333333,0.12
c06_s01_cov100_seed00000012_bw000,6,1,1.0,0.0,200,4,20,180,0.9,0.3,0.03
c06_s01_cov100_seed00000012_bw000,6,1,1.0,0.0,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000012_bw000,6,1,1.0,0.0,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000012_bw000,6,1,1.0,0.0,200,7,0,200,1.0,,0.0
c06_s01_cov100_seed00000012_bw000,6,1,1.0,0.0,1000,1,571,429,0.429,0.7548161120840631,0.431
c06_s01_cov100_seed00000012_bw000,6,1,1.0,0.0,1000,2,383,617,0.617,0.6214099216710183,0.238
c06_s01_cov100_seed00000012_bw000,6,1,1.0,0.0,1000,3,229,771,0.771,0.44541484716157204,0.102
c06_s01_cov100_seed00000012_bw000,6,1,1.0,0.0,1000,4,89,911,0.911,0.34831460674157305,0.031
c06_s01_cov100_seed00000012_bw000,6,1,1.0,0.0,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000012_bw000,6,1,1.0,0.0,1000,6,0,1000,1.0,,0.0
c06_s01_cov100_seed00000012_bw000,6,1,1.0,0.0,1000,7,0,1000,1.0,,0.0
c06_s01_cov100_seed00000013_bw000,6,1,1.0,0.0,200,1,61,139,0.695,0.6065573770491803,0.185
c06_s01_cov100_seed00000013_bw000,6,1,1.0,0.0,200,2,46,154,0.77,0.0,0.0
c06_s01_cov100_seed00000013_bw000,6,1,1.0,0.0,200,3,31,169,0.845,0.0,0.0
c06_s01_cov100_seed00000013_bw000,6,1,1.0,0.0,200,4,31,169,0.845,0.0,0.0
c06_s01_cov100_seed00000013_bw000,6,1,1.0,0.0,200,5,47,153,0.765,0.0,0.0
c06_s01_cov100_seed00000013_bw000,6,1,1.0,0.0,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000013_bw000,6,1,1.0,0.0,1000,1,325,675,0.675,0.5353846153846153,0.174
c06_s01_cov100_seed00000013_bw000,6,1,1.0,0.0,1000,2,203,797,0.797,0.0,0.0
c06_s01_cov100_seed00000013_bw000,6,1,1.0,0.0,1000,3,136,864,0.864,0.0,0.0
c06_s01_cov100_seed00000013_bw000,6,1,1.0,0.0,1000,4,138,862,0.862,0.0,0.0
c06_s01_cov100_seed00000013_bw000,6,1,1.0,0.0,1000,5,188,812,0.812,0.0,0.0
c06_s01_cov100_seed00000013_bw000,6,1,1.0,0.0,1000,6,0,1000,1.0,,0.0
c06_s01_cov100_seed00000014_bw000,6,1,1.0,0.0,200,1,86,114,0.57,0.5581395348837209,0.24
c06_s01_cov100_seed00000014_bw000,6,1,1.0,0.0,200,2,37,163,0.815,0.3783783783783784,0.07
c06_s01_cov100_seed00000014_bw000,6,1,1.0,0.0,200,3,20,180,0.9,0.0,0.0
c06_s01_cov100_seed00000014_bw000,6,1,1.0,0.0,200,4,0,200,1.0,,0.0
c06_s01_cov100_seed00000014_bw000,6,1,1.0,0.0,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000014_bw000,6,1,1.0,0.0,1000,1,406,594,0.594,0.5246305418719212,0.213
c06_s01_cov100_seed00000014_bw000,6,1,1.0,0.0,1000,2,215,785,0.785,0.4511627906976744,0.097
c06_s01_cov100_seed00000014_bw000,6,1,1.0,0.0,1000,3,91,909,0.909,0.0,0.0
c06_s01_cov100_seed00000014_bw000,6,1,1.0,0.0,1000,4,0,1000,1.0,,0.0
c06_s01_cov100_seed00000014_bw000,6,1,1.0,0.0,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000015_bw000,6,1,1.0,0.0,200,1,108,92,0.46,0.7037037037037037,0.38
c06_s01_cov100_seed00000015_bw000,6,1,1.0,0.0,200,2,58,142,0.71,0.5344827586206896,0.155
c06_s01_cov100_seed00000015_bw000,6,1,1.0,0.0,200,3,23,177,0.885,0.391304347826087,0.045
c06_s01_cov100_seed00000015_bw000,6,1,1.0,0.0,200,4,8,192,0.96,0.0,0.0
c06_s01_cov100_seed00000015_bw000,6,1,1.0,0.0,200,5,0,200,1.0,,0.0
c06_s01_cov100_seed00000015_bw000,6,1,1.0,0.0,200,6,0,200,1.0,,0.0
c06_s01_cov100_seed00000015_bw000,6,1,1.0,0.0,1000,1,514,486,0.486,0.7023346303501945,0.361
c06_s01_cov100_seed00000015_bw000,6,1,1.0,0.0,1000,2,281,719,0.719,0.4875444839857651,0.137
c06_s01_cov100_seed00000015_bw000,6,1,1.0,0.0,1000,3,140,860,0.86,0.38571428571428573,0.054
c06_s01_cov100_seed00000015_bw000,6,1,1.0,0.0,1000,4,62,938,0.938,0.0,0.0
c06_s01_cov100_seed00000015_bw000,6,1,1.0,0.0,1000,5,0,1000,1.0,,0.0
c06_s01_cov100_seed00000015_bw000,6,1,1.0,0.0,1000,6,0,1000,1.0,,0.0
c06_s01_cov100_seed00000016_bw000,6,1,1.0,0.0,200,1,67,133,0.665,0.4925373134328358,0.165
c06_s01_cov100_seed00000016_bw000,6,1,1.0,0.0,200,2,40,160,0.8,0.0,0.0
