k_undirected,space_size,build_seconds,bfs_query_seconds,fast_query_seconds,bfs_single_query_seconds,speedup_single_query,speedup_amortised,fast_elements_visited,fast_closures,agree,r
3,19,0.0026409160000000487,0.00026883300000002386,4.087500000005129e-05,0.0029097490000000725,71.1865198775883,6.576954128432698,1,0,True,-1
3,19,0.0026409160000000487,0.0002823330000001345,4.22909999999721e-05,0.002923249000000183,69.12224823253439,6.6759594239985045,1,0,True,-1
3,19,0.0026409160000000487,0.00039245800000009545,5.699999999997374e-05,0.003033374000000144,53.21708771932529,6.885228070180285,1,0,True,-1
3,19,0.002769833999999971,0.00042062499999984126,6.0417000000034804e-05,0.0031904589999998123,52.8073058906926,6.962030554307545,1,0,True,-1
3,19,0.002769833999999971,0.0003882920000000123,5.825000000014846e-05,0.0031581259999999833,54.2167553646684,6.665957081528286,1,0,True,-1
3,19,0.002769833999999971,0.0002854999999999386,4.3916999999948914e-05,0.0030553339999999096,69.5706446251671,6.500899423919455,1,0,True,-1
3,19,0.002769833999999971,0.00039079100000005695,5.8125000000019966e-05,0.003160625000000028,54.37634408600331,6.723286021504046,1,0,True,-1
3,19,0.002769833999999971,0.0002897079999999441,4.291700000003118e-05,0.003059541999999915,71.28974532231265,6.7504252394094095,1,0,True,-1
3,19,0.002769833999999971,0.0003902920000000698,5.820899999986473e-05,0.003160126000000041,54.289302341689165,6.705011252572228,1,0,True,-1
3,18,0.0023374160000000366,5.6500000000125894e-05,0.00016916700000013662,0.0023939160000001625,14.151199702059085,0.3339894896763569,1,1,True,1
3,18,0.0023374160000000366,4.72920000000876e-05,0.00015233400000003172,0.002384708000000124,15.654469783499597,0.3104494072241112,1,1,True,1
3,18,0.0023374160000000366,4.1875000000191065e-05,0.00015137499999995363,0.0023792910000002276,15.717859620154956,0.2766308835686467,1,1,True,1
3,18,0.0023374160000000366,4.291700000003118e-05,0.00015166699999991096,0.0023803330000000678,15.694468803374928,0.282968608860572,1,1,True,1
3,18,0.0023374160000000366,3.724999999987766e-05,0.000157541999999955,0.0023746659999999142,15.07322491780346,0.23644488453801715,1,1,True,1
3,18,0.002608374999999885,6.799999999995698e-05,0.00019083300000000136,0.002676374999999842,14.024696986369355,0.3563325001438771,1,1,True,1
3,18,0.002608374999999885,9.370800000008117e-05,0.0002155839999999909,0.0027020829999999663,12.53378265548501,0.4346704764736025,1,1,True,1
3,18,0.002608374999999885,9.229199999993831e-05,0.00021204199999980133,0.0027006669999998234,12.736472019705312,0.4352533931958045,1,1,True,1
3,18,0.002608374999999885,5.3166000000048896e-05,0.00021487499999994775,0.002661540999999934,12.38646189645413,0.2474275741713174,1,1,True,1
3,18,0.002608374999999885,6.579200000000895e-05,0.00019033299999993147,0.002674166999999894,14.049938791491002,0.34566785581077714,1,1,True,1
3,18,0.002608374999999885,6.662500000009786e-05,0.0001782919999999688,0.002674999999999983,15.003477441502989,0.37368474188471446,1,1,True,1
3,18,0.002582666999999983,7.150000000000212e-05,0.00019487500000003877,0.002654166999999985,13.619843489413507,0.36690186016671145,1,1,True,1
3,18,0.002582666999999983,5.849999999996136e-05,0.00018933300000001374,0.0026411669999999443,13.949850263819581,0.30897941721705735,1,1,True,1
3,18,0.002582666999999983,5.0125000000011966e-05,0.0001862919999999768,0.002632791999999995,14.132609022396682,0.26906684130299857,1,1,True,1
3,18,0.002582666999999983,4.950000000003563e-05,0.00017370799999993913,0.0026321670000000186,15.152825431188782,0.2849609689827352,1,1,True,1
3,18,0.002582666999999983,4.0000000000040004e-05,0.00016450000000012288,0.002622667000000023,15.943264437678199,0.24316109422498555,1,1,True,1
3,18,0.0026614999999998723,7.062499999999083e-05,0.00019058299999996642,0.002732124999999863,14.335617552459267,0.37057345093740407,1,1,True,1
3,18,0.0026614999999998723,5.854200000010579e-05,0.00018216699999995534,0.002720041999999978,14.931584754651748,0.321364462279777,1,1,True,1
3,18,0.0026614999999998723,4.941599999996882e-05,0.0001719580000001386,0.002710915999999841,15.764989125237884,0.2873724979351294,1,1,True,1
3,18,0.0026614999999998723,4.887500000005929e-05,0.00016941600000008883,0.0027103749999999316,15.99834136090163,0.28849105161279726,1,1,True,1
3,18,0.0026614999999998723,3.924999999993517e-05,0.00016179100000002222,0.0027007499999998075,16.69283211055891,0.2425969306075726,1,1,True,1
3,18,0.0023683340000000275,5.8208000000004034e-05,0.00016474999999993578,0.0024265420000000315,14.72863125949,0.35331107739014705,1,1,True,1
3,18,0.0023683340000000275,5.037500000004691e-05,0.00016645899999989666,0.0024187090000000744,14.530358827108032,0.3026270733338431,1,1,True,1
3,18,0.0023683340000000275,3.924999999993517e-05,0.0001384170000000573,0.0024075839999999626,17.393701640686952,0.28356343512660237,1,1,True,1
3,18,0.0023683340000000275,4.124999999999268e-05,0.00013679199999994118,0.00240958400000002,17.614948242595005,0.301552722381502,1,1,True,1
3,18,0.0023683340000000275,3.537499999994864e-05,0.00013487500000008978,0.002403708999999976,17.82175347542818,0.2622798887853575,1,1,True,1
3,19,0.0027005829999999786,0.0003788340000001611,5.7707999999934145e-05,0.0030794170000001397,53.36204685665166,6.564670409658858,1,0,True,-1
3,19,0.0027005829999999786,0.0002766669999998417,4.283299999996437e-05,0.0029772499999998203,69.50832302202267,6.459202017137996,1,0,True,-1
3,19,0.0027005829999999786,0.0003847500000000448,5.841700000019934e-05,0.0030853330000000234,52.81567009585387,6.586267696025676,1,0,True,-1
3,19,0.0027005829999999786,0.0003797079999998676,5.7167000000024615e-05,0.0030802909999998462,53.88232721672503,6.642083719623281,1,0,True,-1
3,19,0.0027005829999999786,0.00027641699999980673,4.220900000007077e-05,0.0029769999999997854,70.52998175732175,6.548769219819073,1,0,True,-1
3,19,0.0027005829999999786,0.0003753330000000332,5.633299999985297e-05,0.003075916000000012,54.60238226275966,6.662755400937511,1,0,True,-1
4,32,0.005762041999999967,4.7917000000063936e-05,0.00019729199999996005,0.005809959000000031,29.44852807007485,0.2428735072890621,1,1,True,1
4,32,0.005762041999999967,8.237499999985687e-05,0.00024620900000016377,0.005844416999999824,23.737625350803327,0.3345734721305967,1,1,True,1
4,32,0.005762041999999967,7.416600000009765e-05,0.00022483300000009088,0.005836208000000065,25.957968803501736,0.3298715046281804,1,1,True,1
4,32,0.005554500000000129,5.1291999999980575e-05,0.00020991700000005942,0.005605792000000109,26.7048023742647,0.24434419318095274,1,1,True,1
4,32,0.005490500000000065,5.8709000000156664e-05,0.00020924999999993865,0.0055492090000002214,26.51951732378422,0.280568697730819,1,1,True,1
4,32,0.005490500000000065,5.2999999999858716e-05,0.00021399999999993646,0.0055434999999999235,25.90420560748397,0.2476635514012825,1,1,True,1
4,32,0.005490500000000065,6.775000000014408e-05,0.00022158399999994138,0.005558250000000209,25.084166726847062,0.3057531229698986,1,1,True,1
4,32,0.005498375000000166,6.16250000000651e-05,0.00022029200000006632,0.005560000000000231,25.239227933826726,0.27974234198267095,1,1,True,1
4,32,0.005498375000000166,5.1583000000077206e-05,0.0002324170000000958,0.0055499580000002435,23.879311754294893,0.22194159635506847,1,1,True,1
4,32,0.005678207999999962,0.00010675000000004431,0.0002784170000000863,0.005784958000000007,20.778034387261602,0.3834176792365812,1,1,True,1
4,32,0.005678207999999962,7.2000000000072e-05,0.0002377909999999872,0.005750208000000034,24.181773069629816,0.3027869011025475,1,1,True,1
4,32,0.005678207999999962,0.00010145800000005423,0.00026454200000003425,0.005779666000000017,21.847820005894217,0.3835232212655877,1,1,True,1
4,32,0.005836000000000174,9.875000000003631e-05,0.0002614169999999305,0.005934750000000211,22.702234361199878,0.37774896047335316,1,1,True,1
4,32,0.005836000000000174,0.00013370799999989913,0.00029916600000001736,0.0059697080000000735,19.954500177158256,0.44693581489838874,1,1,True,1
4,32,0.005836000000000174,8.812499999999446e-05,0.0002462500000000034,0.005924125000000169,24.057360406091725,0.35786802030454107,1,1,True,1
4,32,0.00585033299999993,5.791600000004671e-05,0.00023004199999987485,0.0059082489999999765,25.683349127564494,0.25176272159031055,1,1,True,1
4,32,0.00585033299999993,8.208399999998228e-05,0.0002499169999998774,0.005932416999999912,23.73754886623488,0.32844504375461675,1,1,True,1
4,32,0.00585033299999993,0.00011412500000007597,0.0002886250000000423,0.005964458000000006,20.665077522734105,0.39540926808162574,1,1,True,1
6,86,0.03969766599999991,9.783400000018538e-05,0.0005578330000000076,0.039795500000000095,71.33945105434701,0.17538223805365416,1,1,True,1
6,86,0.03893804199999984,0.0001035419999999565,0.0005589169999999921,0.039041583999999796,69.8522034577591,0.18525469792466137,1,1,True,1
6,86,0.039646791999999875,9.666700000021677e-05,0.0005529160000001809,0.03974345900000009,71.87974122649207,0.17483125827464777,1,1,True,1
6,86,0.03998191699999998,0.00010462500000008035,0.0006019170000000074,0.04008654200000006,66.59812233248034,0.17381964623042556,1,1,True,1
6,86,0.04042370800000006,0.00011204200000003439,0.0005850420000004242,0.04053575000000009,69.28690589730431,0.19151103681437087,1,1,True,1
6,86,0.03887858400000033,9.749999999986159e-05,0.0005611250000003842,0.03897608400000019,69.46060859874983,0.1737580752948003,1,1,True,1
7,318,0.283505291,0.0002635830000001782,0.001178040999999741,0.28376887400000017,240.88200156027045,0.2237468814754632,1,1,True,1
