instance_id,arm,z_star,stored_radius,gac_radius,gac_exact,equal,z_gac_valid_at_g0,backdoor_recheck,sanity_status
c06_s01_cov100_seed00000030_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000030_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000030_tiered_nt2,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000030_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000030_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000031_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000031_bw010,flip,"[""C00"", ""W""]",2,2,True,True,True,,
c06_s01_cov100_seed00000031_bw025,flip,"[""C00"", ""W""]",3,3,True,True,True,,
c06_s01_cov100_seed00000031_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000031_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000032_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000032_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000032_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000032_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000033_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000033_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000033_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000034_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000034_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000034_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000035_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000035_bw025,flip,"[""W""]",2,2,True,True,True,,
c06_s01_cov100_seed00000035_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000035_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000036_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000036_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000036_bw025,flip,"[""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000036_tiered_nt2,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000036_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000036_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000037_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000037_bw010,flip,"[""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000037_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000037_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000038_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000038_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000039_bw000,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000039_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000039_tiered_nt4,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000040_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000040_bw025,flip,"[""C00"", ""W""]",2,2,True,True,True,,
c06_s01_cov100_seed00000040_tiered_nt2,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000040_tiered_nt3,tiered,"[""C00"", ""W""]",1,1,True,True,True,,
c06_s01_cov100_seed00000041_bw010,flip,"[""C00"", ""W""]",1,1,True,True,True,,
