network,treatment,outcome,n_claims,retraction_depth,retraction_set,retraction_sits,n_sets_at_depth,what_it_costs,free_rule_said,hop_radius_said,closure_size_said,claim_count_said,free_rule_unit_gap,hop_unit_gap,closure_unit_gap,z_valid_at_truth
paths,12,D,1,1,15 -> 14,elsewhere in the component,1,identifiability,3,3,14,1,2,2,13,1
paths,13,D,1,1,15 -> 14,elsewhere in the component,1,identifiability,2,2,14,1,1,1,13,1
paths,14,D,1,1,15 -> 14,into the treatment,1,identifiability,1,1,14,1,0,0,13,1
paths,2,D,1,1,15 -> 14,elsewhere in the component,1,identifiability,5,13,14,1,4,12,13,1
paths,2,E,1,1,15 -> 14,elsewhere in the component,1,identifiability,5,13,14,1,4,12,13,1
paths,3,D,1,1,15 -> 14,elsewhere in the component,1,identifiability,4,12,14,1,3,11,13,1
paths,3,E,1,1,15 -> 14,elsewhere in the component,1,identifiability,4,12,14,1,3,11,13,1
paths,4,D,1,1,15 -> 14,elsewhere in the component,1,identifiability,3,11,14,1,2,10,13,1
paths,4,E,1,1,15 -> 14,elsewhere in the component,1,identifiability,3,11,14,1,2,10,13,1
paths,5,D,1,1,15 -> 14,elsewhere in the component,1,identifiability,2,10,14,1,1,9,13,1
paths,5,E,1,1,15 -> 14,elsewhere in the component,1,identifiability,2,10,14,1,1,9,13,1
paths,6,D,1,1,15 -> 14,elsewhere in the component,1,identifiability,1,9,14,1,0,8,13,1
paths,6,E,1,1,15 -> 14,elsewhere in the component,1,identifiability,1,9,14,1,0,8,13,1
paths,7,D,1,1,15 -> 14,elsewhere in the component,1,identifiability,1,8,14,1,0,7,13,1
paths,8,D,1,1,15 -> 14,elsewhere in the component,1,identifiability,7,7,14,1,6,6,13,1
paths,9,D,1,1,15 -> 14,elsewhere in the component,1,identifiability,6,6,14,1,5,5,13,1
Acid_1996,x4,x10,1,1,x1 -> x4,into the treatment,1,identifiability,1,1,1,1,0,0,0,1
Acid_1996,x4,x11,1,1,x1 -> x4,into the treatment,1,identifiability,1,1,1,1,0,0,0,1
Acid_1996,x4,x12,1,1,x1 -> x4,into the treatment,1,identifiability,1,1,1,1,0,0,0,1
Acid_1996,x4,x13,1,1,x1 -> x4,into the treatment,1,identifiability,1,1,1,1,0,0,0,1
Acid_1996,x4,x15,1,1,x1 -> x4,into the treatment,1,identifiability,1,1,1,1,0,0,0,1
Acid_1996,x4,x17,1,1,x1 -> x4,into the treatment,1,identifiability,1,1,1,1,0,0,0,1
Acid_1996,x4,x18,1,1,x1 -> x4,into the treatment,1,identifiability,1,1,1,1,0,0,0,1
Acid_1996,x4,x5,1,1,x1 -> x4,into the treatment,1,identifiability,1,1,1,1,0,0,0,1
Acid_1996,x4,x7,1,1,x1 -> x4,into the treatment,1,identifiability,1,1,1,1,0,0,0,1
Acid_1996,x4,x9,1,1,x1 -> x4,into the treatment,1,identifiability,1,1,1,1,0,0,0,1
child,CardiacMixing,HypDistrib,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
child,CardiacMixing,HypoxiaInO2,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
child,CardiacMixing,LowerBodyO2,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
child,CardiacMixing,RUQO2,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
child,DuctFlow,HypDistrib,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
child,DuctFlow,LowerBodyO2,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
child,LungFlow,ChestXray,2,1,BirthAsphyxia -> Disease,elsewhere in the component,1,identifiability,2,2,12,2,1,1,11,1
